date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max category
15-Apr-2016 14:11:26 13.400800 -92.367000 22.410000 6.100000 93.885700 292.755100 -3.745129 SKS 112.000000 4.000000 -Inf Inf 0.000000 Inf 2492.533680 -0.001585 -0.050473 0.047303 null-measurement
19-Apr-2016 05:25:39 -55.728300 -27.230700 14.000000 6.200000 106.183050 203.974020 -3.745129 SKS 23.000000 4.000000 -Inf Inf 0.000000 Inf 10605.821523 -0.025542 -0.140914 0.089830 null-measurement
20-Apr-2016 08:33:47 0.639000 -80.210400 14.000000 6.200000 94.480380 275.215560 -3.745129 SKS 51.000000 0.410256 -Inf Inf 0.000000 Inf 18192.964549 0.414021 0.260091 0.567952 poor
18-May-2016 16:46:43 0.494700 -79.616000 29.950000 6.900000 94.153440 274.696590 -3.745129 SKS 3.000000 4.000000 -Inf Inf 0.000000 Inf 12482.647050 -0.068948 -0.224570 0.086673 null-measurement
05-Jun-2016 16:25:33 -4.587000 125.626400 429.620000 6.300000 107.140720 79.565530 -3.745129 SKS 7.000000 0.717949 -Inf Inf 0.000000 Inf 37133.124196 0.370167 0.185146 0.555189 poor
07-Jun-2016 10:51:37 18.363700 -105.173100 10.000000 6.300000 98.181330 305.369850 -3.745129 SKS 50.000000 0.615385 36.000000 122.000000 0.102564 3.384615 4738.676825 0.288208 0.224976 0.351439 poor
07-Jun-2016 19:15:15 1.278900 126.371200 31.000000 6.300000 103.495550 74.765100 -3.745129 SKS 51.000000 1.128205 -Inf Inf 0.000000 Inf 37713.176420 0.753736 0.500031 1.007442 poor
25-Jul-2016 17:26:50 -26.106700 -70.511100 72.000000 6.100000 105.795710 248.854860 -3.745129 SKS 155.000000 2.153846 -Inf Inf 0.000000 Inf 503081.045783 -0.187266 -0.429122 0.054591 poor
29-Jul-2016 21:18:24 18.542900 145.507300 196.000000 7.700000 102.285400 48.698270 -3.745129 SKS 136.000000 4.000000 -Inf Inf 0.000000 Inf 19166.237442 0.092444 -0.043185 0.228073 null-measurement
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 100.215720 248.841520 -3.745129 SKS 65.000000 2.871795 -Inf Inf 0.000000 Inf 10239.988701 0.217387 0.088002 0.346773 poor
04-Aug-2016 16:24:33 24.944700 142.014100 510.000000 6.300000 95.190940 47.651920 -3.745129 SKS 46.000000 4.000000 -Inf Inf 0.000000 Inf 4890.477461 0.009792 -0.056983 0.076567 null-measurement
