date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max category
29-Jul-2016 21:18:24 18.542900 145.507300 196.000000 7.700000 101.029910 48.104840 -0.845738 SKS 111.000000 2.358974 101.000000 120.000000 1.743590 3.076923 13562.978338 -1.691537 -2.031164 -1.351911 good
10-Jan-2017 06:13:48 4.478200 122.617100 627.170000 7.300000 98.254010 74.701510 -0.845738 SKS 92.000000 0.820513 77.000000 160.000000 0.102564 3.282051 7317.400934 -0.414719 -0.524671 -0.304767 poor
18-Feb-2017 12:10:17 -23.861300 -66.659200 222.000000 6.400000 102.269940 248.331700 -0.845738 SKS 110.000000 1.538462 85.000000 138.000000 0.717949 2.358974 57671.387822 -1.541852 -1.876815 -1.206888 good
21-Feb-2017 14:09:04 -19.281400 -63.904700 595.980000 6.500000 97.201810 249.690580 -0.845738 SKS 123.000000 0.923077 95.000000 143.000000 0.615385 1.538462 8802.162078 -0.868125 -0.977322 -0.758928 good
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 102.538600 249.470230 -0.845738 SKS 98.000000 1.435897 80.000000 137.000000 0.615385 2.666667 19216.103460 -1.134654 -1.337585 -0.931723 average
23-Sep-2017 12:53:01 16.625800 -95.077800 10.000000 6.100000 92.098350 296.702040 -0.845738 SKS 87.000000 1.743590 45.000000 108.000000 0.512821 3.487179 11636.422559 1.394528 0.999595 1.789462 average
10-Oct-2017 06:32:21 -18.571500 -69.752600 85.000000 6.300000 100.560120 254.215230 -0.845738 SKS 98.000000 1.230769 80.000000 146.000000 0.410256 2.769231 23330.893882 -0.818525 -1.015485 -0.621565 average
21-Jan-2018 01:06:42 -18.880600 -69.444500 116.000000 6.300000 100.573220 253.783270 -0.845738 SKS 99.000000 1.435897 85.000000 129.000000 0.717949 2.564103 13104.048302 -1.026994 -1.222338 -0.831649 good
06-Mar-2018 14:13:07 -6.304300 142.611600 20.490000 6.700000 119.469050 66.097320 -0.845738 SKIKS 121.000000 1.128205 74.000000 151.000000 0.205128 2.871795 62358.313729 -1.030242 -1.285358 -0.775127 average
02-Apr-2018 13:40:34 -20.658800 -63.005800 559.000000 6.800000 97.615310 248.117660 -0.845738 SKS 103.000000 1.230769 91.000000 117.000000 0.923077 1.641026 6014.774719 -1.110454 -1.257844 -0.963064 good
24-Aug-2018 09:04:08 -11.035500 -70.828400 630.000000 7.100000 95.919070 260.278960 -0.845738 SKS 96.000000 1.333333 86.000000 124.000000 0.512821 2.358974 11289.572783 -0.533230 -0.698237 -0.368222 good
28-Aug-2018 07:08:11 -10.773000 124.187100 14.000000 6.200000 110.429950 84.260570 -0.845738 SKS 87.000000 2.461538 -Inf Inf 0.000000 Inf 693735.265462 -0.090562 -0.750235 0.569111 poor
07-Sep-2018 02:12:06 -2.253200 -78.790300 110.500000 6.200000 95.141260 272.101310 -0.845738 SKS 100.000000 0.717949 93.000000 0.000000 0.000000 2.871795 2220.108957 -0.170606 -0.217014 -0.124199 poor
28-Sep-2018 10:02:45 -0.255900 119.846200 20.000000 7.500000 99.854760 79.994280 -0.845738 SKS 97.000000 0.820513 -Inf Inf 0.000000 Inf 100560.945180 -0.426209 -0.563390 -0.289029 poor
01-Nov-2018 22:19:51 -19.582700 -69.265600 102.000000 6.200000 100.951390 253.159220 -0.845738 SKS 100.000000 1.435897 86.000000 127.000000 0.717949 2.256410 13812.060887 -1.079867 -1.286262 -0.873472 good
11-Dec-2018 02:26:29 -58.544600 -26.385600 133.000000 7.100000 110.259130 202.152820 -0.845738 SKS 106.000000 4.000000 91.000000 111.000000 0.615385 4.000000 10691.872244 -0.293231 -0.570812 -0.015650 poor
06-Jan-2019 17:27:18 2.258000 126.758000 43.210000 6.600000 102.666880 73.069150 -0.845738 SKS 88.000000 1.538462 -Inf Inf 0.000000 Inf 32578.105406 -0.635361 -0.883342 -0.387380 poor
22-Feb-2019 10:17:23 -2.186200 -77.050500 145.000000 7.500000 93.884410 270.890510 -0.845738 SKS 90.000000 4.000000 -Inf Inf 0.000000 Inf 4451.826225 -0.017619 -0.096157 0.060919 null-measurement
23-Apr-2019 05:37:53 11.754700 125.201300 56.000000 6.400000 94.517230 67.942890 -0.845738 SKS 130.000000 1.230769 90.000000 148.000000 0.512821 2.461538 18987.797813 -0.977963 -1.135709 -0.820218 average
26-May-2019 07:41:15 -5.811900 -75.269700 122.570000 8.000000 95.247710 267.090930 -0.845738 SKS 98.000000 1.128205 90.000000 165.000000 0.205128 2.871795 1601.194383 -0.358275 -0.461171 -0.255380 average
31-May-2019 10:12:32 6.279500 126.479000 98.720000 6.100000 99.469230 70.588790 -0.845738 SKS 107.000000 0.820513 84.000000 143.000000 0.410256 1.435897 31326.805284 -0.737428 -0.859735 -0.615121 average
28-Jun-2019 15:51:31 19.851500 144.347700 410.000000 6.400000 99.336710 48.311800 -0.845738 SKS 111.000000 1.846154 76.000000 128.000000 0.717949 3.282051 41015.479781 -1.340252 -1.665659 -1.014844 average
07-Jul-2019 15:08:40 0.512600 126.189200 35.000000 6.900000 103.586670 74.692370 -0.845738 SKS 111.000000 0.615385 80.000000 159.000000 0.205128 2.051282 8476.485852 -0.556864 -0.648452 -0.465277 average
14-Jul-2019 09:10:51 -0.585800 128.034000 18.980000 7.200000 105.636390 74.027070 -0.845738 SKS 80.000000 1.743590 -Inf Inf 0.000000 Inf 18269.890336 -0.256771 -0.396694 -0.116848 poor
26-Sep-2019 16:36:18 -40.814500 -71.999300 129.000000 6.100000 117.008440 238.246070 -0.845738 PKIKS 76.000000 4.000000 58.000000 102.000000 0.307692 4.000000 132334.545844 -0.250473 -1.123130 0.622184 poor
29-Sep-2019 15:57:53 -35.475800 -73.163000 11.000000 6.700000 114.312970 243.455330 -0.845738 SKS 96.000000 1.230769 73.000000 135.000000 0.512821 2.461538 44629.104295 -1.062396 -1.301595 -0.823198 poor
14-Nov-2019 16:17:40 1.621300 126.415600 33.000000 7.100000 102.913770 73.763040 -0.845738 SKS 102.000000 0.512821 76.000000 161.000000 0.102564 2.666667 5803.388283 -0.411053 -0.487605 -0.334501 average
