date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max category
28-May-2016 09:46:59 -56.240900 -26.935300 78.000000 7.200000 106.615130 202.844160 -13.275928 SKS 110.000000 3.384615 -Inf Inf 0.000000 Inf 5476.949468 -0.097052 -0.225785 0.031681 null-measurement
29-Jul-2016 21:18:24 18.542900 145.507300 196.000000 7.700000 102.727180 47.377840 -13.275928 SKS 141.000000 2.974359 -Inf Inf 0.000000 Inf 9532.658664 0.230549 0.120817 0.340280 poor
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 99.395490 247.928760 -13.275928 SKS 66.000000 4.000000 -Inf Inf 0.000000 Inf 8436259.296504 0.021519 -0.917367 0.960404 poor
19-Aug-2016 07:32:22 -55.285200 -31.876600 10.000000 7.400000 107.256320 205.856620 -13.275928 SKS 112.000000 2.256410 -Inf Inf 0.000000 Inf 11167.960500 -0.224681 -0.372879 -0.076482 poor
10-Jan-2017 06:13:48 4.478200 122.617100 627.170000 7.300000 99.500230 74.048470 -13.275928 SKS 25.000000 1.128205 173.000000 63.000000 0.410256 2.564103 17169.695011 1.072927 0.868354 1.277500 average
13-Aug-2017 03:08:10 -3.768200 101.622800 31.000000 6.400000 90.470350 94.802860 -13.275928 SKKS 104.000000 4.000000 -Inf Inf 0.000000 Inf 4193.168814 0.281632 -0.173109 0.736374 poor
24-Oct-2017 10:47:47 -7.216800 123.073500 553.810000 6.700000 108.173060 82.093680 -13.275928 SKS 27.000000 1.025641 -Inf Inf 0.000000 Inf 105906.402440 0.770759 0.371454 1.170065 poor
14-Jan-2018 09:18:45 -15.767500 -74.709200 39.000000 7.100000 100.810410 258.520830 -13.275928 SKS 76.000000 4.000000 -Inf Inf 0.000000 Inf 43559.645405 -0.114585 -0.398003 0.168832 null-measurement
17-Aug-2018 15:35:01 -7.371800 119.801700 529.000000 6.500000 105.959340 84.587400 -13.275928 SKS 17.000000 1.128205 -Inf Inf 0.000000 Inf 74213.634130 0.681019 0.387521 0.974518 poor
24-Aug-2018 09:04:08 -11.035500 -70.828400 630.000000 7.100000 94.809310 259.297190 -13.275928 SKS 166.000000 4.000000 -Inf Inf 0.000000 Inf 8161.532674 0.107700 -0.011838 0.227238 null-measurement
07-Sep-2018 02:12:06 -2.253200 -78.790300 110.500000 6.200000 94.346530 271.119740 -13.275928 SKS 88.000000 4.000000 -Inf Inf 0.000000 Inf 2959025.674128 0.173594 -0.544752 0.891940 poor
28-Sep-2018 10:02:45 -0.255900 119.846200 20.000000 7.500000 100.974860 79.397260 -13.275928 SKS 59.000000 1.230769 172.000000 77.000000 0.102564 4.000000 17348.627806 0.739099 0.560807 0.917392 poor
11-Dec-2018 02:26:29 -58.544600 -26.385600 133.000000 7.100000 108.467870 201.368760 -13.275928 SKS 110.000000 4.000000 -Inf Inf 0.000000 Inf 19980.103150 -0.056644 -0.247571 0.134283 null-measurement
05-Jan-2019 19:25:38 -8.144000 -71.587000 570.410000 6.800000 93.323930 261.884150 -13.275928 SKS 178.000000 4.000000 -Inf Inf 0.000000 Inf 29117.811036 0.100528 -0.180484 0.381539 null-measurement
01-Mar-2019 08:50:42 -14.713100 -70.154600 267.000000 7.000000 96.903240 256.200720 -13.275928 SKS 65.000000 1.128205 -Inf Inf 0.000000 Inf 9982.011297 0.398680 0.247063 0.550298 poor
24-Jun-2019 02:53:39 -6.407800 129.169200 212.000000 7.300000 111.881720 76.923110 -13.275928 SKS 39.000000 0.820513 169.000000 75.000000 0.102564 2.769231 29016.622592 0.797586 0.594879 1.000293 average
28-Jun-2019 15:51:31 19.851500 144.347700 410.000000 6.400000 101.031830 47.567240 -13.275928 SKS 140.000000 4.000000 -Inf Inf 0.000000 Inf 7564.467112 0.081521 -0.036478 0.199521 null-measurement
07-Jul-2019 15:08:40 0.512600 126.189200 35.000000 6.900000 104.831960 74.165840 -13.275928 SKS 20.000000 0.923077 -Inf Inf 0.000000 Inf 383882.337880 0.832615 0.501737 1.163492 poor
14-Nov-2019 16:17:40 1.621300 126.415600 33.000000 7.100000 104.180230 73.215600 -13.275928 SKS 37.000000 0.820513 177.000000 61.000000 0.410256 1.641026 8141.832547 0.739803 0.632437 0.847169 good
