date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max delta_XC phi_XC Qa E_red Eig_ratio category 
11-Jan-2016 16:38:05 3.896500 126.862100 13.000000 6.500000 101.654410 71.856570 8.563668 SKS 82.000000 2.871795 -Inf Inf 0.000000 Inf 111108.815382 -0.613683 -1.049727 -0.177638 0.624695 -57.143430 -0.695045 59.714242 0.063267 poor 
20-Apr-2016 08:33:47 0.639000 -80.210400 14.000000 6.200000 93.996150 275.039990 8.563668 SKS 3.000000 4.000000 -Inf Inf 0.000000 Inf 5436.824186 -0.134000 -0.245448 -0.022553 0.149438 -43.960010 -1.007827 24.399310 0.008828 null-measurement 
18-May-2016 07:57:02 0.426100 -79.789900 16.000000 6.700000 93.856610 274.588930 8.563668 SKS 1.000000 3.179487 -Inf Inf 0.000000 Inf 6115.021927 -0.161497 -0.296629 -0.026364 0.127504 -47.411070 -1.038996 42.318272 0.009583 poor 
18-May-2016 16:46:43 0.494700 -79.616000 29.950000 6.900000 93.686350 274.510940 8.563668 SKS 1.000000 4.000000 -Inf Inf 0.000000 Inf 6871.482307 -0.039054 -0.199647 0.121539 0.021568 -46.489060 -1.050819 60.801415 0.009968 null-measurement 
05-Jun-2016 16:25:33 -4.587000 125.626400 429.620000 6.300000 107.079060 78.671290 8.563668 SKS 87.000000 3.179487 -Inf Inf 0.000000 Inf 781778.906838 -0.311565 -0.843447 0.220318 0.335906 -43.328710 -1.009106 67.116337 0.050928 poor 
07-Jun-2016 10:51:37 18.363700 -105.173100 10.000000 6.300000 96.824380 305.236350 8.563668 SKS 79.000000 1.435897 43.000000 115.000000 0.410256 2.974359 99128.308246 1.548965 1.324330 1.773601 1.396287 79.236350 0.960287 94.976092 0.266497 average 
07-Jun-2016 19:15:15 1.278900 126.371200 31.000000 6.300000 103.275220 74.008200 8.563668 SKS 86.000000 2.051282 74.000000 156.000000 0.102564 4.000000 21400.509023 -0.580967 -0.836473 -0.325460 0.563019 -55.991800 -0.574665 81.821588 0.060693 poor 
25-Jul-2016 17:26:50 -26.106700 -70.511100 72.000000 6.100000 106.185330 249.083500 8.563668 SKS 123.000000 0.615385 79.000000 152.000000 0.307692 1.846154 4028.915941 -0.579204 -0.642061 -0.516346 0.570469 -65.916500 0.701375 93.062981 0.034498 good 
29-Jul-2016 21:18:24 18.542900 145.507300 196.000000 7.700000 101.247960 48.058970 8.563668 SKS 97.000000 1.435897 85.000000 108.000000 1.230769 1.743590 5592.945632 -1.534680 -1.643135 -1.426224 1.471055 -78.941030 0.868037 99.036962 0.195990 good 
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 100.609050 248.875930 8.563668 SKS 117.000000 0.512821 80.000000 149.000000 0.307692 1.435897 3023.850970 -0.507868 -0.567467 -0.448269 0.522472 -65.124070 0.928317 85.888655 0.027362 good 
