date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max category
19-Aug-2016 07:32:22 -55.285200 -31.876600 10.000000 7.400000 107.396850 205.837280 8.945070 SKS 29.000000 4.000000 -Inf Inf 0.000000 Inf 35827.563046 -0.134175 -0.411074 0.142724 null-measurement
02-Apr-2018 13:40:34 -20.658800 -63.005800 559.000000 6.800000 96.244680 247.086720 8.945070 SKS 155.000000 4.000000 -Inf Inf 0.000000 Inf 2957.898964 0.087887 0.026976 0.148798 null-measurement
28-Jul-2018 22:47:38 -8.239500 116.508000 14.000000 6.400000 104.268500 87.474170 8.945070 SKS 2.000000 1.333333 -Inf Inf 0.000000 Inf 15025.627341 0.180066 0.025854 0.334278 poor
24-Aug-2018 09:04:08 -11.035500 -70.828400 630.000000 7.100000 94.781270 259.250620 8.945070 SKS 51.000000 0.307692 -Inf Inf 0.000000 Inf 9708.527251 0.244071 0.162406 0.325737 poor
28-Sep-2018 10:02:45 -0.255900 119.846200 20.000000 7.500000 101.002040 79.297460 8.945070 SKS 67.000000 1.846154 -Inf Inf 0.000000 Inf 28326.047568 0.631233 0.389372 0.873093 poor
11-Dec-2018 02:26:29 -58.544600 -26.385600 133.000000 7.100000 108.618830 201.348870 8.945070 SKS 112.000000 4.000000 -Inf Inf 0.000000 Inf 14156.420523 0.050696 -0.090912 0.192303 null-measurement
11-Dec-2018 02:26:29 -58.544600 -26.385600 133.000000 7.100000 108.618830 201.348870 8.945070 SKKS 94.000000 1.230769 -Inf Inf 0.000000 Inf 833872.709129 -0.518673 -1.206129 0.168783 poor
01-Mar-2019 08:50:42 -14.713100 -70.154600 267.000000 7.000000 96.885800 256.161550 8.945070 SKS 171.000000 1.128205 -Inf Inf 0.000000 Inf 4696.631185 0.171500 0.077918 0.265082 poor
12-Apr-2019 11:40:49 -1.814600 122.579800 15.460000 6.800000 104.026660 78.398900 8.945070 SKS 25.000000 0.923077 172.000000 73.000000 0.205128 3.179487 22066.970704 0.820092 0.634914 1.005269 poor
24-Jun-2019 02:53:39 -6.407800 129.169200 212.000000 7.300000 111.900250 76.782480 8.945070 SKS 12.000000 1.538462 170.000000 64.000000 0.205128 4.000000 62664.538519 1.037355 0.712839 1.361870 poor
07-Jul-2019 15:08:40 0.512600 126.189200 35.000000 6.900000 104.841120 74.051870 8.945070 SKS 2.000000 2.564103 165.000000 63.000000 0.205128 4.000000 78102.694446 1.007009 0.534860 1.479157 poor
14-Nov-2019 16:17:40 1.621300 126.415600 33.000000 7.100000 104.186120 73.104000 8.945070 SKS 175.000000 3.179487 165.000000 42.000000 0.410256 4.000000 38837.493732 0.691941 0.319021 1.064862 poor
