date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max delta_XC phi_XC Qa E_red Eig_ratio category 
20-Apr-2016 08:33:47 0.639000 -80.210400 14.000000 6.200000 93.978230 274.806520 -17.909514 SKS 6.000000 4.000000 -Inf Inf 0.000000 Inf 18374.826584 -0.003532 -0.174046 0.166982 0.022350 -37.193480 -0.954573 12.080482 0.022312 null-measurement 
18-May-2016 16:46:43 0.494700 -79.616000 29.950000 6.900000 93.655710 274.285100 -17.909514 SKS 9.000000 2.871795 -Inf Inf 0.000000 Inf 59942.950582 0.199750 0.011115 0.388384 0.215437 52.285100 -0.887234 47.956780 0.025995 poor 
28-May-2016 09:46:59 -56.240900 -26.935300 78.000000 7.200000 106.837500 203.293230 -17.909514 SKS 21.000000 3.692308 -Inf Inf 0.000000 Inf 10759.381908 0.009185 -0.124407 0.142776 0.000000 66.293230 -1.006527 23.712632 0.022714 null-measurement 
05-Jun-2016 16:25:33 -4.587000 125.626400 429.620000 6.300000 107.488850 78.936510 -17.909514 SKS 173.000000 0.615385 -Inf Inf 0.000000 Inf 24901.638518 0.082218 -0.072127 0.236563 0.144480 32.936510 -0.657214 2.504197 0.039537 null-measurement 
07-Jun-2016 10:51:37 18.363700 -105.173100 10.000000 6.300000 97.504390 304.948720 -17.909514 SKS 49.000000 1.846154 -Inf Inf 0.000000 Inf 1791840.996619 0.678632 0.243800 1.113463 0.747411 86.948720 -0.459705 71.370696 0.087418 poor 
25-Jul-2016 17:26:50 -26.106700 -70.511100 72.000000 6.100000 105.560050 248.594330 -17.909514 SKS 71.000000 0.923077 -Inf Inf 0.000000 Inf 4805.612675 -0.063714 -0.131177 0.003749 0.061114 -67.405670 -0.858136 6.538757 0.008448 null-measurement 
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 99.980620 248.513680 -17.909514 SKS 71.000000 3.179487 -Inf Inf 0.000000 Inf 7462.697134 -0.063335 -0.172408 0.045739 0.062140 -63.486320 -0.992112 45.779916 0.006535 null-measurement 
04-Aug-2016 16:24:33 24.944700 142.014100 510.000000 6.300000 95.168490 47.148250 -17.909514 SKS 124.000000 1.128205 54.000000 136.000000 0.102564 3.384615 18128.345752 -0.403214 -0.533318 -0.273109 0.400977 89.148250 -0.425004 79.728972 0.033589 average 
21-Aug-2016 03:45:23 -55.313300 -31.750800 12.000000 6.100000 107.493680 206.222870 -17.909514 SKS 114.000000 4.000000 -Inf Inf 0.000000 Inf 7241.225919 0.053035 -0.044809 0.150879 0.046165 -21.777130 -0.971197 26.098566 0.013494 null-measurement 
23-Aug-2016 19:39:44 -7.287200 122.434500 533.000000 6.000000 107.136680 83.278630 -17.909514 SKS 4.000000 2.769231 -Inf Inf 0.000000 Inf 65682.666796 0.733646 0.331226 1.136067 0.796190 52.278630 -0.821353 46.344213 0.068689 poor 
