date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max delta_XC phi_XC Qa E_red Eig_ratio category 
19-Apr-2016 05:25:39 -55.728300 -27.230700 14.000000 6.200000 107.509960 204.670450 8.737582 SKS 134.000000 2.666667 -Inf Inf 0.000000 Inf 13826.202309 1.370450 0.897473 1.843426 1.463214 -5.329550 -0.428635 62.973379 0.144427 poor 
18-May-2016 16:46:43 0.494700 -79.616000 29.950000 6.900000 94.841820 275.563030 8.737582 SKS 178.000000 0.820513 -Inf Inf 0.000000 Inf 10194.982543 -0.198027 -0.353942 -0.042112 0.175598 -42.436970 -0.688348 4.797677 0.019559 poor 
07-Jun-2016 19:15:15 1.278900 126.371200 31.000000 6.300000 102.443240 75.349430 8.737582 SKS 158.000000 3.589744 155.000000 162.000000 2.153846 4.000000 5650.315732 -0.308489 -0.500047 -0.116932 0.303249 -68.650570 -0.955959 80.996216 0.013628 poor 
19-Aug-2016 07:32:22 -55.285200 -31.876600 10.000000 7.400000 108.579690 207.254860 8.737582 SKS 116.000000 4.000000 -Inf Inf 0.000000 Inf 18132.748011 -0.073801 -0.293876 0.146274 0.073937 69.254860 -1.021108 2.297101 0.017103 null-measurement 
21-Aug-2016 03:45:23 -55.313300 -31.750800 12.000000 6.100000 108.562080 207.175480 8.737582 SKS 143.000000 0.307692 -Inf Inf 0.000000 Inf 19248.669479 0.229551 0.069972 0.389129 0.243283 -21.824520 0.438671 17.716282 0.022156 poor 
21-Aug-2016 03:45:23 -55.313300 -31.750800 12.000000 6.100000 108.562080 207.175480 8.737582 SKKS 11.000000 0.717949 -Inf Inf 0.000000 Inf 12031.627223 0.349802 0.205085 0.494518 0.352125 -17.824520 -0.157522 48.688938 0.035259 poor 
04-Nov-2016 16:20:44 -35.094500 -71.045700 90.000000 6.300000 113.173850 242.974730 8.737582 SKIKS 171.000000 4.000000 157.000000 4.000000 1.435897 4.000000 97478.279187 0.008664 -0.731362 0.748689 0.000000 -36.025270 -0.649651 85.756354 0.000000 null-measurement 
18-Feb-2017 12:10:17 -23.861300 -66.659200 222.000000 6.400000 102.835200 249.067280 8.737582 SKS 121.000000 1.025641 93.000000 143.000000 0.615385 1.641026 10786.308457 -0.971140 -1.108312 -0.833967 0.954958 -64.932720 0.789616 85.316173 0.113084 good 
21-Feb-2017 14:09:04 -19.281400 -63.904700 595.980000 6.500000 97.800350 250.550870 8.737582 SKS 116.000000 1.025641 94.000000 139.000000 0.717949 1.435897 6750.939422 -1.030033 -1.131074 -0.928992 1.006742 -68.449130 0.857770 94.145821 0.135536 good 
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 103.130550 250.201470 8.737582 SKS 134.000000 4.000000 -Inf Inf 0.000000 Inf 256883.193906 -0.995932 -2.769720 0.777856 0.417684 64.201470 -1.532945 72.784721 0.054864 poor 
10-May-2017 23:23:36 -56.414000 -25.743200 15.000000 6.500000 107.667140 203.548800 8.737582 SKS 119.000000 1.230769 -Inf Inf 0.000000 Inf 33718.597846 0.210686 0.006391 0.414980 0.229360 -21.451200 -0.693763 14.084117 0.024123 poor 
09-Dec-2017 15:14:24 10.092800 140.201600 10.000000 6.100000 104.750310 58.747220 8.737582 SKKS 169.000000 4.000000 -Inf Inf 0.000000 Inf 226227.553850 0.009068 -1.258829 1.276965 0.000000 -33.252780 -0.577680 NaN 0.000000 null-measurement 
04-Mar-2018 19:56:17 -6.331000 142.599400 10.000000 6.000000 118.965190 67.916040 8.737582 SKKS 173.000000 4.000000 165.000000 1.000000 2.256410 4.000000 29609.129685 0.013677 -0.360654 0.388008 0.000000 -36.083960 -0.683875 73.369795 0.000000 null-measurement 
04-Mar-2018 19:56:17 -6.331000 142.599400 10.000000 6.000000 118.965190 67.916040 8.737582 SKIKS 173.000000 4.000000 -Inf Inf 0.000000 Inf 170180.645081 0.007794 -0.800225 0.815812 0.000000 -36.083960 -0.683875 88.007073 0.000000 null-measurement 
28-Jul-2018 22:47:38 -8.239500 116.508000 14.000000 6.400000 102.317960 89.334080 8.737582 SKS 4.000000 4.000000 0.000000 7.000000 1.948718 4.000000 5457.134816 0.002511 -0.150497 0.155518 0.000000 -35.665920 -0.885195 77.905386 0.000000 null-measurement 
28-Sep-2018 10:02:45 -0.255900 119.846200 20.000000 7.500000 99.029820 81.223610 8.737582 SKS 150.000000 4.000000 -Inf Inf 0.000000 Inf 7265169.926975 -0.010768 -2.014485 1.992949 0.000000 84.223610 -1.504620 81.684740 0.000000 null-measurement 
