date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max category
15-Apr-2016 14:11:26 13.400800 -92.367000 22.410000 6.100000 93.357030 292.717730 21.879643 SKS 17.000000 2.256410 -Inf Inf 0.000000 Inf 19526.310552 -0.244871 -0.402538 -0.087204 poor
22-Apr-2016 03:03:41 -0.292100 -80.503900 10.000000 6.000000 95.143860 274.755410 21.879643 SKS 168.000000 1.128205 -Inf Inf 0.000000 Inf 25657.400558 -0.562037 -0.744455 -0.379618 poor
18-May-2016 16:46:43 0.494700 -79.616000 29.950000 6.900000 93.959890 274.675200 21.879643 SKS 173.000000 2.051282 139.000000 -1.000000 0.512821 3.897436 5053.262180 -0.643118 -0.800537 -0.485699 poor
10-Jun-2016 03:25:22 12.831800 -86.963300 10.000000 6.100000 90.198410 288.465090 21.879643 SKS 177.000000 2.051282 -Inf Inf 0.000000 Inf 112838.463368 -0.953237 -1.465173 -0.441301 poor
29-Jul-2016 21:18:24 18.542900 145.507300 196.000000 7.700000 101.612680 48.413730 21.879643 SKS 77.000000 0.512821 -Inf Inf 0.000000 Inf 34503.856800 -0.399144 -0.601397 -0.196890 poor
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 100.526020 248.940710 21.879643 SKS 142.000000 0.820513 -Inf Inf 0.000000 Inf 12270.149592 -0.423184 -0.568765 -0.277602 poor
04-Aug-2016 16:24:33 24.944700 142.014100 510.000000 6.300000 94.503040 47.482680 21.879643 SKS 123.000000 1.538462 115.000000 129.000000 1.025641 2.256410 6462.650185 -0.526022 -0.664479 -0.387565 good
21-Aug-2016 03:45:23 -55.313300 -31.750800 12.000000 6.100000 108.185830 206.556780 21.879643 SKS 30.000000 4.000000 -Inf Inf 0.000000 Inf 43811.749596 0.015904 -0.242307 0.274115 null-measurement
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 102.309910 249.391260 21.879643 SKS 150.000000 1.641026 71.000000 159.000000 0.000000 4.000000 8417.119956 -0.409962 -0.557551 -0.262374 poor
10-May-2017 23:23:36 -56.414000 -25.743200 15.000000 6.500000 107.342320 202.923700 21.879643 SKS 118.000000 4.000000 -Inf Inf 0.000000 Inf 278090.017658 0.055822 -0.329454 0.441098 null-measurement
22-Jun-2017 12:31:03 13.717400 -90.971800 38.120000 6.800000 92.210380 291.923910 21.879643 SKS 17.000000 2.051282 -Inf Inf 0.000000 Inf 5525.144362 -0.258049 -0.392965 -0.123133 poor
