date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max delta_XC phi_XC Qa E_red Eig_ratio category 
15-Apr-2016 14:11:26 13.400800 -92.367000 22.410000 6.100000 92.862680 291.714060 8.697665 SKS 15.000000 3.179487 174.000000 20.000000 0.307692 4.000000 16199.738383 -0.190169 -0.422113 0.041774 0.142599 -34.285940 -1.055174 67.622387 0.016153 poor 
19-Apr-2016 05:25:39 -55.728300 -27.230700 14.000000 6.200000 105.856610 203.241120 8.697665 SKS 18.000000 4.000000 -Inf Inf 0.000000 Inf 29470.109134 0.399962 0.150581 0.649342 0.458842 -30.758880 -0.978775 33.747712 0.040926 poor 
28-May-2016 09:46:59 -56.240900 -26.935300 78.000000 7.200000 106.217060 202.823390 8.697665 SKS 158.000000 0.717949 -Inf Inf 0.000000 Inf 24293.517367 0.698211 0.452629 0.943793 0.718857 -27.176610 0.837305 51.034710 0.077593 poor 
05-Jun-2016 16:25:33 -4.587000 125.626400 429.620000 6.300000 108.161480 78.444160 8.697665 SKS 6.000000 0.923077 169.000000 76.000000 0.000000 4.000000 13368.007919 0.467897 0.329647 0.606146 0.540645 34.444160 -0.068819 62.045250 0.063118 poor 
07-Jun-2016 10:51:37 18.363700 -105.173100 10.000000 6.300000 97.249460 304.277640 8.697665 SKS 131.000000 1.641026 125.000000 33.000000 0.000000 4.000000 7830.706293 -0.325142 -0.425873 -0.224410 0.323522 -8.722360 -0.700414 77.552146 0.015838 poor 
07-Jun-2016 19:15:15 1.278900 126.371200 31.000000 6.300000 104.486590 73.644360 8.697665 SKS 44.000000 1.128205 2.000000 63.000000 0.512821 2.461538 11927.826266 0.931475 0.775804 1.087146 1.011529 35.644360 0.699425 85.338826 0.082108 average 
25-Jul-2016 17:26:50 -26.106700 -70.511100 72.000000 6.100000 104.847050 247.964300 8.697665 SKS 67.000000 2.358974 -Inf Inf 0.000000 Inf 8888.010487 -0.016751 -0.119387 0.085885 0.020420 -68.035700 -0.990566 2.627657 0.019593 null-measurement 
04-Aug-2016 16:24:33 24.944700 142.014100 510.000000 6.300000 95.892860 46.553240 8.697665 SKS 43.000000 4.000000 39.000000 44.000000 2.564103 4.000000 5479.053484 -0.025006 -0.131194 0.081182 0.016756 86.553240 -0.963860 80.941478 0.015221 null-measurement 
21-Aug-2016 03:45:23 -55.313300 -31.750800 12.000000 6.100000 106.854160 205.747890 8.697665 SKS 147.000000 0.410256 -Inf Inf 0.000000 Inf 18093.697203 0.345535 0.236836 0.454235 0.376380 -25.252110 0.729953 44.285583 0.027443 poor 
01-Dec-2016 22:40:26 -15.312200 -70.827000 12.000000 6.200000 97.722940 256.208770 8.697665 SKS 17.000000 1.128205 -Inf Inf 0.000000 Inf 219047.862412 0.451332 -0.275610 1.178274 0.000000 -58.791230 -1.770089 33.082186 0.252390 poor 
10-Jan-2017 06:13:48 4.478200 122.617100 627.170000 7.300000 99.583130 74.164140 8.697665 SKS 44.000000 1.025641 7.000000 62.000000 0.615385 2.153846 4966.152871 0.860208 0.741087 0.979328 0.927259 37.164140 0.745925 89.282725 0.050860 good 
18-Feb-2017 12:10:17 -23.861300 -66.659200 222.000000 6.400000 100.755520 247.205920 8.697665 SKS 153.000000 1.846154 -Inf Inf 0.000000 Inf 4249.857635 -0.160124 -0.246286 -0.073961 0.158671 -70.794080 -0.888182 44.733048 0.013188 poor 
21-Feb-2017 14:09:04 -19.281400 -63.904700 595.980000 6.500000 95.727510 248.704100 8.697665 SKS 157.000000 3.384615 -Inf Inf 0.000000 Inf 8873.873486 -0.075731 -0.191322 0.039860 0.075818 -67.295900 -0.961964 21.931282 0.019424 null-measurement 
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 101.055920 248.330180 8.697665 SKS 71.000000 3.282051 -Inf Inf 0.000000 Inf 7729.367370 -0.187896 -0.308920 -0.066872 0.184660 -65.669820 -0.906725 24.302195 0.021239 poor 
10-May-2017 23:23:36 -56.414000 -25.743200 15.000000 6.500000 106.039090 202.133300 8.697665 SKS 17.000000 4.000000 -Inf Inf 0.000000 Inf 53913.216393 0.270368 -0.094981 0.635717 0.292599 -32.866700 -1.043059 32.529718 0.039124 poor 
12-May-2017 10:41:26 12.918700 -90.061100 16.000000 6.200000 91.659540 289.756270 8.697665 SKS 15.000000 4.000000 143.000000 18.000000 0.205128 4.000000 13219.520888 -0.226494 -0.421305 -0.031683 0.212506 -35.243730 -1.070364 52.881342 0.019108 poor 
23-Sep-2017 12:53:01 16.625800 -95.077800 10.000000 6.100000 92.287050 295.820180 8.697665 SKS 19.000000 2.051282 -Inf Inf 0.000000 Inf 3552.019445 -0.322478 -0.518290 -0.126666 0.318906 -25.179820 -0.831457 52.781356 0.039835 poor 
10-Oct-2017 06:32:21 -18.571500 -69.752600 85.000000 6.300000 99.217300 253.111030 8.697665 SKS 165.000000 4.000000 -Inf Inf 0.000000 Inf 12269.595766 0.022673 -0.111227 0.156573 0.023302 29.111030 -0.974469 5.117701 0.019195 null-measurement 
24-Oct-2017 10:47:47 -7.216800 123.073500 553.810000 6.700000 108.192670 82.283000 8.697665 SKS 14.000000 1.333333 175.000000 74.000000 0.205128 4.000000 12251.831655 0.814914 0.609922 1.019906 0.834172 40.283000 0.018891 74.860571 0.060964 poor 
24-Oct-2017 10:47:47 -7.216800 123.073500 553.810000 6.700000 108.192670 82.283000 8.697665 SKKS 60.000000 1.435897 3.000000 77.000000 0.307692 4.000000 19347.831364 0.908587 0.692713 1.124460 0.930874 27.283000 -0.142187 71.700849 0.067367 poor 
21-Jan-2018 01:06:42 -18.880600 -69.444500 116.000000 6.300000 99.217340 252.680580 8.697665 SKS 166.000000 4.000000 -Inf Inf 0.000000 Inf 13340.339903 0.251558 0.085963 0.417153 0.277846 31.680580 -0.947500 19.282957 0.036739 poor 
02-Apr-2018 13:40:34 -20.658800 -63.005800 559.000000 6.800000 96.096730 247.124730 8.697665 SKS 154.000000 2.051282 -Inf Inf 0.000000 Inf 10431.578071 -0.157455 -0.291087 -0.023823 0.159697 -69.875270 -0.897890 11.759749 0.029994 poor 
10-Apr-2018 10:19:34 -31.025800 -71.529200 66.000000 6.200000 108.768450 244.737560 8.697665 SKS 152.000000 1.333333 -Inf Inf 0.000000 Inf 6114.985324 -0.102346 -0.195034 -0.009657 0.126917 -72.262440 -0.890065 14.443930 0.014374 null-measurement 
28-Jul-2018 22:47:38 -8.239500 116.508000 14.000000 6.400000 104.189980 87.739560 8.697665 SKS 73.000000 1.025641 -Inf Inf 0.000000 Inf 18621.755248 0.442421 0.245372 0.639470 0.477919 42.739560 -0.214398 39.113821 0.039320 poor 
05-Aug-2018 11:46:38 -8.258100 116.437500 34.000000 6.900000 104.152010 87.802990 8.697665 SKS 64.000000 1.025641 12.000000 80.000000 0.307692 2.666667 5946.837619 0.696604 0.568699 0.824509 0.692697 41.802990 0.164906 73.448582 0.057886 poor 
17-Aug-2018 15:35:01 -7.371800 119.801700 529.000000 6.500000 105.959250 84.757720 8.697665 SKS 16.000000 0.820513 -1.000000 72.000000 0.307692 2.358974 5850.470113 0.522211 0.426468 0.617954 0.521837 39.757720 0.093099 73.970047 0.040646 poor 
24-Aug-2018 09:04:08 -11.035500 -70.828400 630.000000 7.100000 94.769610 259.302940 8.697665 SKS 167.000000 2.051282 -Inf Inf 0.000000 Inf 6358.978488 -0.044658 -0.141201 0.051885 0.054739 -56.697060 -0.944362 19.161801 0.019547 null-measurement 
28-Aug-2018 07:08:11 -10.773000 124.187100 14.000000 6.200000 111.442940 84.193910 8.697665 SKS 1.000000 3.179487 175.000000 76.000000 0.102564 4.000000 9862.400627 0.438909 0.235496 0.642322 0.424646 48.193910 -0.923853 63.094210 0.021275 poor 
07-Sep-2018 02:12:06 -2.253200 -78.790300 110.500000 6.200000 94.400210 271.129050 8.697665 SKS 3.000000 2.871795 -Inf Inf 0.000000 Inf 1623.003869 0.033834 -0.022979 0.090648 0.018564 47.129050 -0.974223 38.517173 0.006116 null-measurement 
28-Sep-2018 10:02:45 -0.255900 119.846200 20.000000 7.500000 101.015860 79.525750 8.697665 SKS 48.000000 0.615385 170.000000 78.000000 0.000000 4.000000 7941.037692 0.530095 0.418301 0.641889 0.515169 34.525750 0.517968 84.987390 0.023599 poor 
01-Nov-2018 22:19:51 -19.582700 -69.265600 102.000000 6.200000 99.576620 252.047740 8.697665 SKS 69.000000 1.846154 -Inf Inf 0.000000 Inf 12981.161746 0.074377 -0.057811 0.206564 0.074841 27.047740 -0.891929 9.921697 0.032547 null-measurement 
15-Nov-2018 20:02:22 -56.706500 -25.546000 15.000000 6.400000 106.241370 201.885130 8.697665 SKS 177.000000 0.820513 -Inf Inf 0.000000 Inf 30931.191482 0.514466 0.290704 0.738228 0.593938 -31.114870 0.033981 27.752986 0.074059 poor 
06-Jan-2019 17:27:18 2.258000 126.758000 43.210000 6.600000 104.043640 72.663460 8.697665 SKS 9.000000 1.128205 166.000000 64.000000 0.307692 4.000000 14490.086718 0.828289 0.654266 1.002312 0.869174 36.663460 0.071966 75.276019 0.044651 poor 
22-Jan-2019 05:10:03 -10.414800 119.016500 24.000000 6.300000 107.484370 87.611600 8.697665 SKS 6.000000 2.256410 178.000000 83.000000 0.102564 4.000000 13538.934986 0.384977 0.189624 0.580330 0.400098 45.611600 -0.703915 52.600383 0.039277 poor 
01-Mar-2019 08:50:42 -14.713100 -70.154600 267.000000 7.000000 96.839140 256.190220 8.697665 SKS 80.000000 4.000000 -Inf Inf 0.000000 Inf 37946.322791 -0.182616 -0.400850 0.035618 0.164314 -55.809780 -0.941064 45.162161 0.016506 poor 
12-Apr-2019 11:40:49 -1.814600 122.579800 15.460000 6.800000 104.050510 78.662850 8.697665 SKS 50.000000 1.025641 -Inf Inf 0.000000 Inf 32458.667207 0.818472 0.552266 1.084678 0.823278 31.662850 0.359721 58.943368 0.091796 poor 
14-Jun-2019 00:19:12 -30.055700 -72.081900 11.000000 6.400000 108.498620 245.841090 8.697665 SKS 64.000000 4.000000 -Inf Inf 0.000000 Inf 9493.333186 -0.004160 -0.135014 0.126695 0.000000 -74.158910 -0.931078 24.826162 0.008795 null-measurement 
24-Jun-2019 02:53:39 -6.407800 129.169200 212.000000 7.300000 111.942010 77.144130 8.697665 SKS 17.000000 1.128205 178.000000 48.000000 0.512821 2.256410 15100.792729 0.944339 0.789349 1.099330 0.923302 48.144130 -0.011905 82.775094 0.111600 average 
07-Jul-2019 15:08:40 0.512600 126.189200 35.000000 6.900000 104.913890 74.324790 8.697665 SKS 15.000000 1.025641 176.000000 52.000000 0.512821 1.948718 5524.190221 0.876838 0.769364 0.984311 0.838300 32.324790 0.397364 88.558649 0.066189 good 
14-Jul-2019 09:10:51 -0.585800 128.034000 18.980000 7.200000 106.983050 73.722640 8.697665 SKS 18.000000 0.615385 -Inf Inf 0.000000 Inf 17961.749714 0.544122 0.388178 0.700065 0.524157 32.722640 0.492031 61.429434 0.040551 poor 
14-Nov-2019 16:17:40 1.621300 126.415600 33.000000 7.100000 104.269550 73.368830 8.697665 SKS 45.000000 1.025641 176.000000 65.000000 0.410256 2.461538 9841.666353 0.823037 0.672636 0.973438 0.840376 30.368830 0.473991 77.246133 0.066414 average 
