date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max category
15-Apr-2016 14:11:26 13.400800 -92.367000 22.410000 6.100000 93.885700 292.755100 -3.525224 SKS 112.000000 4.000000 -Inf Inf 0.000000 Inf 11604.079513 0.002431 -0.097711 0.102574 null-measurement
19-Apr-2016 05:25:39 -55.728300 -27.230700 14.000000 6.200000 106.183050 203.974020 -3.525224 SKS 22.000000 4.000000 -Inf Inf 0.000000 Inf 8639.323533 -0.015501 -0.129854 0.098852 null-measurement
18-May-2016 16:46:43 0.494700 -79.616000 29.950000 6.900000 94.153440 274.696590 -3.525224 SKS 2.000000 4.000000 -Inf Inf 0.000000 Inf 15136.566312 -0.094388 -0.287760 0.098985 null-measurement
05-Jun-2016 16:25:33 -4.587000 125.626400 429.620000 6.300000 107.140720 79.565530 -3.525224 SKS 7.000000 0.717949 -Inf Inf 0.000000 Inf 31807.248945 0.368886 0.181538 0.556233 poor
07-Jun-2016 10:51:37 18.363700 -105.173100 10.000000 6.300000 98.181330 305.369850 -3.525224 SKS 50.000000 0.615385 36.000000 122.000000 0.102564 3.487179 4242.685325 0.288472 0.228827 0.348116 poor
07-Jun-2016 19:15:15 1.278900 126.371200 31.000000 6.300000 103.495550 74.765100 -3.525224 SKS 47.000000 1.025641 -Inf Inf 0.000000 Inf 36295.186847 0.786182 0.559442 1.012922 poor
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 100.215720 248.841520 -3.525224 SKS 65.000000 2.871795 -Inf Inf 0.000000 Inf 11921.853076 0.212194 0.067885 0.356502 poor
19-Aug-2016 07:32:22 -55.285200 -31.876600 10.000000 7.400000 107.241960 206.544600 -3.525224 SKS 21.000000 4.000000 -Inf Inf 0.000000 Inf 164380.062374 0.387995 0.064299 0.711690 poor
21-Aug-2016 03:45:23 -55.313300 -31.750800 12.000000 6.100000 107.224640 206.465750 -3.525224 SKS 130.000000 0.512821 -Inf Inf 0.000000 Inf 24882.768509 0.216428 0.073385 0.359470 poor
10-Jan-2017 06:13:48 4.478200 122.617100 627.170000 7.300000 98.588560 75.248560 -3.525224 SKS 178.000000 1.230769 166.000000 72.000000 0.102564 4.000000 8944.279271 0.453335 0.314196 0.592473 poor
21-Feb-2017 14:09:04 -19.281400 -63.904700 595.980000 6.500000 96.682740 249.677280 -3.525224 SKS 4.000000 0.205128 -Inf Inf 0.000000 Inf 7718.647075 0.148989 0.070171 0.227807 null-measurement
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 102.007840 249.256410 -3.525224 SKS 157.000000 4.000000 -Inf Inf 0.000000 Inf 162077.604385 -0.062816 -0.304953 0.179320 null-measurement
10-May-2017 23:23:36 -56.414000 -25.743200 15.000000 6.500000 106.345750 202.861090 -3.525224 SKS 110.000000 4.000000 -Inf Inf 0.000000 Inf 16234.817095 -0.034211 -0.216465 0.148043 null-measurement
22-Jun-2017 12:31:03 13.717400 -90.971800 38.120000 6.800000 92.725310 291.981030 -3.525224 SKS 20.000000 4.000000 -Inf Inf 0.000000 Inf 20136.730567 0.094529 -0.076166 0.265223 null-measurement
11-Aug-2017 05:28:25 14.006500 120.739100 172.000000 6.200000 90.469920 69.952840 -3.525224 SKS 51.000000 0.512821 -Inf Inf 0.000000 Inf 7243.741770 0.289764 0.151721 0.427807 poor
23-Sep-2017 12:53:01 16.625800 -95.077800 10.000000 6.100000 93.285610 296.861370 -3.525224 SKS 116.000000 4.000000 -Inf Inf 0.000000 Inf 4882.902239 -0.001485 -0.133150 0.130180 null-measurement
10-Oct-2017 06:32:21 -18.571500 -69.752600 85.000000 6.300000 100.206360 254.067040 -3.525224 SKS 75.000000 4.000000 -Inf Inf 0.000000 Inf 11234.513658 -0.034680 -0.153455 0.084095 null-measurement
24-Oct-2017 10:47:47 -7.216800 123.073500 553.810000 6.700000 107.153290 83.382860 -3.525224 SKS 0.000000 2.564103 -Inf Inf 0.000000 Inf 40491.829565 0.435430 0.225888 0.644972 poor
21-Jan-2018 01:06:42 -18.880600 -69.444500 116.000000 6.300000 100.203340 253.635340 -3.525224 SKS 166.000000 1.333333 -Inf Inf 0.000000 Inf 6942.843162 0.088091 -0.003219 0.179402 null-measurement
25-Mar-2018 20:14:47 -6.634300 129.817200 169.000000 6.400000 111.545340 77.981560 -3.525224 SKKS 82.000000 2.461538 -Inf Inf 0.000000 Inf 22269.651878 -0.238458 -0.394795 -0.082121 poor
02-Apr-2018 13:40:34 -20.658800 -63.005800 559.000000 6.800000 97.038410 248.091860 -3.525224 SKS 70.000000 4.000000 -Inf Inf 0.000000 Inf 13568.278898 0.009385 -0.146583 0.165353 null-measurement
