date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max category
18-May-2016 16:46:43 0.494700 -79.616000 29.950000 6.900000 93.288610 273.942260 -23.944236 SKS 8.000000 3.692308 -Inf Inf 0.000000 Inf 15885.230190 0.161443 -0.062715 0.385601 poor
28-May-2016 09:46:59 -56.240900 -26.935300 78.000000 7.200000 106.841230 203.060480 -23.944236 SKIKS 123.000000 3.384615 116.000000 135.000000 1.128205 4.000000 16297.088586 0.506179 0.147487 0.864870 poor
07-Jun-2016 19:15:15 1.278900 126.371200 31.000000 6.300000 104.090490 73.759960 -23.944236 SKS 174.000000 2.051282 165.000000 68.000000 0.102564 4.000000 15243.436703 0.540097 0.342719 0.737475 poor
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 99.706590 248.210820 -23.944236 SKS 162.000000 3.589744 -Inf Inf 0.000000 Inf 16173.523571 0.153587 -0.046806 0.353981 poor
19-Aug-2016 07:32:22 -55.285200 -31.876600 10.000000 7.400000 107.493360 206.074110 -23.944236 SKS 121.000000 4.000000 -Inf Inf 0.000000 Inf 388400.013937 0.212242 -0.199713 0.624197 poor
21-Aug-2016 03:45:23 -55.313300 -31.750800 12.000000 6.100000 107.477480 205.994820 -23.944236 SKS 124.000000 3.179487 118.000000 156.000000 0.410256 4.000000 16460.498881 0.412727 0.190235 0.635219 poor
20-Nov-2016 20:57:44 -31.622600 -68.625900 108.000000 6.400000 107.763140 242.907390 -23.944236 SKIKS 157.000000 4.000000 -Inf Inf 0.000000 Inf 253406.977960 0.083598 -0.208446 0.375643 null-measurement
18-Feb-2017 12:10:17 -23.861300 -66.659200 222.000000 6.400000 101.200010 247.526850 -23.944236 SKS 163.000000 4.000000 -Inf Inf 0.000000 Inf 43631.553155 0.020480 -0.288523 0.329483 null-measurement
21-Feb-2017 14:09:04 -19.281400 -63.904700 595.980000 6.500000 96.160530 248.986840 -23.944236 SKS 165.000000 1.948718 -Inf Inf 0.000000 Inf 24090.600949 0.252377 0.076008 0.428745 poor
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 101.491700 248.655140 -23.944236 SKS 74.000000 4.000000 -Inf Inf 0.000000 Inf 34236.579905 0.044415 -0.285087 0.373917 null-measurement
10-May-2017 23:23:36 -56.414000 -25.743200 15.000000 6.500000 106.663230 202.368190 -23.944236 SKS 28.000000 1.743590 -Inf Inf 0.000000 Inf 33943.305072 -0.202134 -0.403920 -0.000348 poor
13-Aug-2017 03:08:10 -3.768200 101.622800 31.000000 6.400000 90.196620 95.082890 -23.944236 SKS 79.000000 2.051282 26.000000 90.000000 0.410256 4.000000 1115.472171 0.689983 0.358744 1.021222 poor
13-Aug-2017 03:08:10 -3.768200 101.622800 31.000000 6.400000 90.196620 95.082890 -23.944236 SKKS 76.000000 1.743590 13.000000 91.000000 0.205128 4.000000 1520.002107 0.724964 0.370442 1.079486 poor
10-Oct-2017 06:32:21 -18.571500 -69.752600 85.000000 6.300000 99.614250 253.426650 -23.944236 SKS 169.000000 4.000000 -Inf Inf 0.000000 Inf 64936.772373 0.176345 -0.115510 0.468200 poor
14-Jan-2018 09:18:45 -15.767500 -74.709200 39.000000 7.100000 101.114370 258.814030 -23.944236 SKS 166.000000 4.000000 -Inf Inf 0.000000 Inf 9940.936209 -0.087387 -0.262857 0.088084 null-measurement
02-Apr-2018 13:40:34 -20.658800 -63.005800 559.000000 6.800000 96.542010 247.409160 -23.944236 SKS 59.000000 2.051282 -Inf Inf 0.000000 Inf 294470.576632 0.416567 -0.199786 1.032920 poor
17-Aug-2018 15:35:01 -7.371800 119.801700 529.000000 6.500000 105.663560 84.840530 -23.944236 SKS 71.000000 1.538462 15.000000 80.000000 0.307692 3.384615 10313.270713 0.571736 0.408037 0.735435 average
24-Aug-2018 09:04:08 -11.035500 -70.828400 630.000000 7.100000 95.112350 259.583660 -23.944236 SKS 73.000000 1.128205 -Inf Inf 0.000000 Inf 9436.390255 0.214918 0.117002 0.312835 poor
07-Sep-2018 02:12:06 -2.253200 -78.790300 110.500000 6.200000 94.628510 271.410180 -23.944236 SKS 88.000000 1.641026 -Inf Inf 0.000000 Inf 3864.069929 0.132658 0.058054 0.207261 null-measurement
