date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max delta_XC phi_XC Qa E_red Eig_ratio category 
15-Apr-2016 14:11:26 13.400800 -92.367000 22.410000 6.100000 93.474340 292.251650 -3.212638 SKS 16.000000 1.538462 -Inf Inf 0.000000 Inf 8107.804995 -0.252295 -0.358754 -0.145837 0.262286 -24.748350 -0.736697 68.104920 0.014106 poor 
19-Apr-2016 05:25:39 -55.728300 -27.230700 14.000000 6.200000 105.852630 203.606240 -3.212638 SKS 127.000000 0.615385 -Inf Inf 0.000000 Inf 25000.814257 0.235768 0.022556 0.448980 0.234685 -18.393760 -0.395790 8.755422 0.048905 poor 
20-Apr-2016 08:33:47 0.639000 -80.210400 14.000000 6.200000 93.990920 274.718710 -3.212638 SKS 94.000000 4.000000 -Inf Inf 0.000000 Inf 8071.719611 -0.001055 -0.119704 0.117593 0.000000 -40.281290 -1.016035 6.549363 0.016541 null-measurement 
07-Jun-2016 10:51:37 18.363700 -105.173100 10.000000 6.300000 97.850260 304.830880 -3.212638 SKS 66.000000 0.410256 -Inf Inf 0.000000 Inf 31503.742438 0.349893 0.206380 0.493405 0.381632 80.830880 0.523580 44.924412 0.030344 poor 
07-Jun-2016 19:15:15 1.278900 126.371200 31.000000 6.300000 104.018220 74.281050 -3.212638 SKS 3.000000 1.333333 -Inf Inf 0.000000 Inf 321373.814852 0.691277 0.376229 1.006324 0.721055 28.281050 -0.026151 71.789143 0.060220 poor 
25-Jul-2016 17:26:50 -26.106700 -70.511100 72.000000 6.100000 105.275760 248.385990 -3.212638 SKS 65.000000 2.461538 48.000000 67.000000 0.205128 4.000000 2487.959962 0.078382 0.001152 0.155612 0.080215 22.385990 -0.914500 40.142911 0.011328 null-measurement 
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 99.695790 248.367100 -3.212638 SKS 64.000000 2.461538 -Inf Inf 0.000000 Inf 10256.784078 0.166233 0.037889 0.294577 0.156326 19.367100 -0.929129 73.629919 0.007865 poor 
04-Aug-2016 16:24:33 24.944700 142.014100 510.000000 6.300000 95.655110 47.146360 -3.212638 SKS 140.000000 0.923077 -Inf Inf 0.000000 Inf 2390.976165 0.075600 0.041344 0.109857 0.069174 3.146360 -0.884171 34.927667 0.004528 null-measurement 
21-Aug-2016 03:45:23 -55.313300 -31.750800 12.000000 6.100000 106.876900 206.101390 -3.212638 SKS 12.000000 0.512821 -Inf Inf 0.000000 Inf 10510.550880 0.231276 0.117123 0.345429 0.212213 -20.898610 -0.325210 14.946370 0.026543 poor 
23-Aug-2016 19:39:44 -7.287200 122.434500 533.000000 6.000000 107.260240 83.436040 -3.212638 SKS 18.000000 1.230769 1.000000 58.000000 0.512821 2.358974 12927.463623 0.842641 0.668623 1.016658 0.854568 38.436040 0.225832 85.073840 0.129554 good 
19-Oct-2016 00:26:01 -4.862600 108.162700 614.000000 6.600000 95.287980 91.652060 -3.212638 SKS 10.000000 1.230769 -Inf Inf 0.000000 Inf 21615.351754 0.277970 0.065951 0.489989 0.274353 52.652060 -0.733341 18.898318 0.038795 poor 
20-Nov-2016 20:57:44 -31.622600 -68.625900 108.000000 6.400000 107.669850 242.934300 -3.212638 SKS 61.000000 3.076923 -Inf Inf 0.000000 Inf 4932.623794 0.058334 -0.023959 0.140627 0.058109 15.934300 -0.982679 31.614935 0.007485 null-measurement 
20-Nov-2016 20:57:44 -31.622600 -68.625900 108.000000 6.400000 107.669850 242.934300 -3.212638 SKIKS 149.000000 3.179487 139.000000 153.000000 0.307692 4.000000 5835.490410 -0.095145 -0.215299 0.025009 0.098559 -76.065700 -0.970729 63.031267 0.012783 null-measurement 
24-Nov-2016 18:43:47 11.909700 -88.896800 10.000000 6.900000 92.200720 288.777110 -3.212638 SKS 105.000000 4.000000 -Inf Inf 0.000000 Inf 5927.651154 -0.080021 -0.248565 0.088523 0.080410 -31.222890 -0.952735 70.417328 0.007247 null-measurement 
10-Jan-2017 06:13:48 4.478200 122.617100 627.170000 7.300000 99.111240 74.765240 -3.212638 SKS 32.000000 0.717949 169.000000 71.000000 0.205128 4.000000 10078.707499 0.702085 0.541197 0.862972 0.772350 26.765240 0.807680 62.667963 0.053452 poor 
18-Feb-2017 12:10:17 -23.861300 -66.659200 222.000000 6.400000 101.178510 247.659500 -3.212638 SKS 157.000000 2.666667 -Inf Inf 0.000000 Inf 2518.440764 -0.015712 -0.073446 0.042022 0.020127 -68.340500 -1.000076 7.949033 0.005741 null-measurement 
21-Feb-2017 14:09:04 -19.281400 -63.904700 595.980000 6.500000 96.162080 249.198590 -3.212638 SKS 63.000000 1.025641 -Inf Inf 0.000000 Inf 5504.162437 0.178094 0.103919 0.252268 0.177821 23.198590 -0.712078 55.253577 0.012622 poor 
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 101.487530 248.782980 -3.212638 SKS 64.000000 1.333333 -Inf Inf 0.000000 Inf 3522.697934 0.172387 0.081833 0.262942 0.155594 21.782980 -0.822287 40.584523 0.007897 poor 
10-May-2017 23:23:36 -56.414000 -25.743200 15.000000 6.500000 106.023250 202.496420 -3.212638 SKS 24.000000 4.000000 -Inf Inf 0.000000 Inf 12839.292054 0.042232 -0.123322 0.207787 0.025403 -21.503580 -1.004917 12.847131 0.026041 null-measurement 
12-May-2017 10:41:26 12.918700 -90.061100 16.000000 6.200000 92.270240 290.293630 -3.212638 SKS 16.000000 2.769231 150.000000 19.000000 0.205128 4.000000 5884.188345 -0.193309 -0.304117 -0.082501 0.187005 -28.706370 -0.926911 41.184635 0.010776 poor 
22-Jun-2017 12:31:03 13.717400 -90.971800 38.120000 6.800000 92.309630 291.484310 -3.212638 SKS 109.000000 4.000000 107.000000 110.000000 2.358974 4.000000 986.616576 0.062295 -0.021206 0.145795 0.063019 63.484310 -0.995891 70.826846 0.003104 null-measurement 
11-Aug-2017 05:28:25 14.006500 120.739100 172.000000 6.200000 90.990570 69.468520 -3.212638 SKS 10.000000 0.615385 161.000000 67.000000 0.000000 3.179487 4271.965420 0.503611 0.382799 0.624422 0.525598 26.468520 0.442830 71.756636 0.044632 poor 
10-Oct-2017 06:32:21 -18.571500 -69.752600 85.000000 6.300000 99.683710 253.584360 -3.212638 SKS 69.000000 1.333333 -Inf Inf 0.000000 Inf 4033.856265 0.145539 0.075833 0.215245 0.157108 29.584360 -0.758083 25.228763 0.011538 null-measurement 
24-Oct-2017 10:47:47 -7.216800 123.073500 553.810000 6.700000 107.670420 82.923090 -3.212638 SKS 16.000000 1.128205 2.000000 53.000000 0.512821 2.153846 3315.983804 0.753301 0.643203 0.863399 0.749194 40.923090 0.083918 91.264096 0.044616 good 
21-Jan-2018 01:06:42 -18.880600 -69.444500 116.000000 6.300000 99.680750 253.153350 -3.212638 SKS 162.000000 4.000000 -Inf Inf 0.000000 Inf 4921.086690 0.016156 -0.069612 0.101924 0.000000 -62.846650 -0.996595 10.451667 0.010202 null-measurement 
05-Aug-2018 11:46:38 -8.258100 116.437500 34.000000 6.900000 103.601490 88.406370 -3.212638 SKS 15.000000 1.333333 179.000000 86.000000 0.000000 4.000000 5297.115406 0.581416 0.367213 0.795620 0.599695 47.406370 -0.281683 47.021252 0.086788 poor 
17-Aug-2018 15:35:01 -7.371800 119.801700 529.000000 6.500000 105.423720 85.378040 -3.212638 SKS 20.000000 0.820513 -1.000000 77.000000 0.205128 2.358974 7791.414351 0.583181 0.467378 0.698983 0.578847 38.378040 0.287906 87.662977 0.053367 average 
24-Aug-2018 09:04:08 -11.035500 -70.828400 630.000000 7.100000 95.276200 259.812070 -3.212638 SKS 73.000000 2.051282 66.000000 75.000000 1.025641 3.076923 2832.950755 0.280542 0.170322 0.390761 0.296067 31.812070 -0.771958 82.108072 0.026975 average 
07-Sep-2018 02:12:06 -2.253200 -78.790300 110.500000 6.200000 94.966510 271.649180 -3.212638 SKS 87.000000 0.820513 -Inf Inf 0.000000 Inf 2065.148016 0.121081 0.065987 0.176176 0.126185 45.649180 -0.766616 43.454482 0.004950 null-measurement 
28-Sep-2018 10:02:45 -0.255900 119.846200 20.000000 7.500000 100.509610 80.128230 -3.212638 SKS 24.000000 0.512821 171.000000 78.000000 0.102564 4.000000 6632.889735 0.461328 0.357786 0.564870 0.441622 34.128230 0.626013 78.270145 0.021328 poor 
01-Nov-2018 22:19:51 -19.582700 -69.265600 102.000000 6.200000 100.035570 252.517050 -3.212638 SKS 69.000000 2.256410 -Inf Inf 0.000000 Inf 3085.393508 0.092092 -0.002074 0.186258 0.090743 24.517050 -0.948506 60.053956 0.007383 null-measurement 
15-Nov-2018 20:02:22 -56.706500 -25.546000 15.000000 6.400000 106.222870 202.245940 -3.212638 SKS 25.000000 4.000000 -Inf Inf 0.000000 Inf 25454.484906 0.111218 -0.105208 0.327643 0.026966 -18.754060 -0.965682 11.208184 0.041040 null-measurement 
11-Dec-2018 02:26:29 -58.544600 -26.385600 133.000000 7.100000 108.039960 201.683320 -3.212638 SKS 132.000000 0.410256 -Inf Inf 0.000000 Inf 22424.228063 0.254141 0.043766 0.464516 0.272301 -23.316680 0.090113 14.027054 0.023890 poor 
06-Jan-2019 17:27:18 2.258000 126.758000 43.210000 6.600000 103.582080 73.298870 -3.212638 SKS 22.000000 1.025641 1.000000 47.000000 0.717949 1.538462 4048.187788 0.993072 0.894389 1.091756 1.008012 32.298870 0.675426 90.689422 0.060926 good 
22-Jan-2019 05:10:03 -10.414800 119.016500 24.000000 6.300000 106.934740 88.232130 -3.212638 SKS 5.000000 2.256410 -Inf Inf 0.000000 Inf 75114.951241 0.289256 -0.065252 0.643765 0.355252 43.232130 -0.692177 32.296750 0.051495 poor 
01-Mar-2019 08:50:42 -14.713100 -70.154600 267.000000 7.000000 97.326260 256.683490 -3.212638 SKS 33.000000 0.205128 -Inf Inf 0.000000 Inf 4682.976154 0.199889 0.085526 0.314251 0.187982 32.683490 0.881374 24.585026 0.011378 poor 
14-Jun-2019 00:19:12 -30.055700 -72.081900 11.000000 6.400000 108.910670 246.227040 -3.212638 SKS 63.000000 4.000000 29.000000 65.000000 0.205128 4.000000 1912.370598 0.154674 0.011931 0.297417 0.138887 18.227040 -0.960458 38.334586 0.013897 poor 
24-Jun-2019 02:53:39 -6.407800 129.169200 212.000000 7.300000 111.450420 77.825470 -3.212638 SKS 12.000000 1.025641 2.000000 24.000000 0.717949 1.538462 1747.520469 0.726376 0.633987 0.818764 0.760186 26.825470 0.407501 96.074246 0.060673 good 
07-Jul-2019 15:08:40 0.512600 126.189200 35.000000 6.900000 104.440870 74.963130 -3.212638 SKS 28.000000 0.717949 177.000000 60.000000 0.410256 1.538462 4979.127488 0.750964 0.663899 0.838029 0.790156 21.963130 0.770444 93.150397 0.057477 good 
14-Jul-2019 09:10:51 -0.585800 128.034000 18.980000 7.200000 106.514120 74.377450 -3.212638 SKS 18.000000 1.230769 -Inf Inf 0.000000 Inf 81944.282672 1.113015 0.894880 1.331151 1.089155 27.377450 0.663356 92.382449 0.137381 good 
27-Aug-2019 23:55:19 -60.215200 -26.580100 16.000000 6.600000 109.526460 200.865220 -3.212638 SKS 25.000000 4.000000 -Inf Inf 0.000000 Inf 19098.744753 -0.110275 -0.367814 0.147264 0.143918 69.865220 -0.961303 38.585866 0.026626 null-measurement 
29-Oct-2019 01:04:43 6.756700 125.008200 15.000000 6.600000 99.125720 71.436770 -3.212638 SKS 0.000000 1.128205 164.000000 63.000000 0.102564 3.076923 31371.188199 0.587933 0.415515 0.760351 0.539057 29.436770 -0.183727 72.313559 0.071902 poor 
14-Nov-2019 16:17:40 1.621300 126.415600 33.000000 7.100000 103.803080 74.004490 -3.212638 SKS 12.000000 0.923077 170.000000 63.000000 0.307692 2.564103 5357.325289 0.730146 0.603351 0.856940 0.719590 27.004490 0.434715 87.486460 0.039301 average 
15-Dec-2019 06:11:51 6.696900 125.173900 18.000000 6.800000 99.282490 71.357390 -3.212638 SKS 4.000000 0.820513 -Inf Inf 0.000000 Inf 18633.530337 0.536996 0.367576 0.706416 0.546378 26.357390 0.153283 59.229394 0.041579 poor 
