date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max category
15-Apr-2016 14:11:26 13.400800 -92.367000 22.410000 6.100000 93.483290 293.097670 2.232437 SKS 116.000000 3.487179 -Inf Inf 0.000000 Inf 12072.246986 -0.016696 -0.122580 0.089188 null-measurement
20-Apr-2016 08:33:47 0.639000 -80.210400 14.000000 6.200000 94.572050 275.585890 2.232437 SKS 124.000000 0.717949 98.000000 0.000000 0.205128 3.076923 9835.570622 -0.577215 -0.694381 -0.460048 average
22-Apr-2016 03:03:41 -0.292100 -80.503900 10.000000 6.000000 95.443190 275.148680 2.232437 SKS 109.000000 1.743590 -Inf Inf 0.000000 Inf 25843.970616 -0.639397 -0.878586 -0.400209 poor
18-May-2016 16:46:43 0.494700 -79.616000 29.950000 6.900000 94.260000 275.057800 2.232437 SKS 105.000000 1.538462 -Inf Inf 0.000000 Inf 15504.255409 -0.425265 -0.614742 -0.235788 poor
07-Jun-2016 10:51:37 18.363700 -105.173100 10.000000 6.300000 97.442780 305.809350 2.232437 SKS 121.000000 3.692308 -Inf Inf 0.000000 Inf 39638.049931 0.248488 0.027031 0.469945 poor
07-Jun-2016 19:15:15 1.278900 126.371200 31.000000 6.300000 102.826140 74.669790 2.232437 SKS 148.000000 1.025641 76.000000 164.000000 0.000000 4.000000 15207.182476 -0.500022 -0.644582 -0.355463 poor
25-Jul-2016 17:26:50 -26.106700 -70.511100 72.000000 6.100000 106.597230 249.509640 2.232437 SKS 101.000000 1.128205 81.000000 138.000000 0.615385 2.153846 7252.300518 -0.965411 -1.084734 -0.846089 good
29-Jul-2016 21:18:24 18.542900 145.507300 196.000000 7.700000 101.033460 48.734490 2.232437 SKS 110.000000 0.717949 76.000000 128.000000 0.410256 1.435897 9193.727535 -0.575569 -0.652851 -0.498287 average
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 101.019420 249.350260 2.232437 SKS 104.000000 0.820513 79.000000 146.000000 0.410256 1.846154 5434.606840 -0.735874 -0.832089 -0.639659 good
04-Aug-2016 16:24:33 24.944700 142.014100 510.000000 6.300000 93.921790 47.821190 2.232437 SKS 116.000000 1.230769 95.000000 127.000000 0.615385 2.051282 12767.157133 -0.746881 -0.891293 -0.602469 good
19-Aug-2016 07:32:22 -55.285200 -31.876600 10.000000 7.400000 108.790270 206.954000 2.232437 SKS 25.000000 1.333333 -Inf Inf 0.000000 Inf 8034.768485 0.079790 -0.064516 0.224096 null-measurement
20-Nov-2016 20:57:44 -31.622600 -68.625900 108.000000 6.400000 109.115180 244.078770 2.232437 SKS 71.000000 3.589744 -Inf Inf 0.000000 Inf 33024.922156 -0.212687 -0.539625 0.114251 poor
24-Nov-2016 18:43:47 11.909700 -88.896800 10.000000 6.900000 92.325630 289.582920 2.232437 SKS 169.000000 0.307692 -Inf Inf 0.000000 Inf 6843.984473 -0.259536 -0.351157 -0.167916 poor
18-Feb-2017 12:10:17 -23.861300 -66.659200 222.000000 6.400000 102.518520 248.676140 2.232437 SKS 113.000000 0.820513 91.000000 136.000000 0.615385 1.128205 4109.815279 -0.836183 -0.918852 -0.753515 good
21-Feb-2017 14:09:04 -19.281400 -63.904700 595.980000 6.500000 97.466800 250.097720 2.232437 SKS 128.000000 1.025641 92.000000 149.000000 0.512821 2.051282 12646.984760 -0.904754 -1.053441 -0.756066 good
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 102.800640 249.812400 2.232437 SKS 108.000000 0.717949 78.000000 150.000000 0.307692 1.948718 5247.232366 -0.669446 -0.764043 -0.574849 good
10-May-2017 23:23:36 -56.414000 -25.743200 15.000000 6.500000 107.923290 203.230890 2.232437 SKS 117.000000 4.000000 -Inf Inf 0.000000 Inf 14289.032351 0.219477 0.024833 0.414121 poor
12-May-2017 10:41:26 12.918700 -90.061100 16.000000 6.200000 92.344870 291.100910 2.232437 SKS 125.000000 0.615385 -Inf Inf 0.000000 Inf 9371.944903 -0.271027 -0.388477 -0.153576 poor
22-Jun-2017 12:31:03 13.717400 -90.971800 38.120000 6.800000 92.344760 292.292230 2.232437 SKS 20.000000 4.000000 15.000000 21.000000 0.717949 4.000000 1252.783369 -0.064848 -0.175085 0.045389 null-measurement
23-Sep-2017 12:53:01 16.625800 -95.077800 10.000000 6.100000 92.771600 297.184080 2.232437 SKS 54.000000 0.410256 -Inf Inf 0.000000 Inf 47192.729026 0.307243 0.126266 0.488221 poor
10-Oct-2017 06:32:21 -18.571500 -69.752600 85.000000 6.300000 100.877310 254.585970 2.232437 SKS 137.000000 0.820513 -Inf Inf 0.000000 Inf 234777.359398 -0.634502 -0.900432 -0.368573 poor
24-Oct-2017 10:47:47 -7.216800 123.073500 553.810000 6.700000 106.712160 83.157380 2.232437 SKS 115.000000 0.512821 -Inf Inf 0.000000 Inf 46668.608706 -0.428194 -0.683225 -0.173163 poor
14-Jan-2018 09:18:45 -15.767500 -74.709200 39.000000 7.100000 102.314790 260.013030 2.232437 SKS 95.000000 1.743590 83.000000 157.000000 0.307692 4.000000 10695.756351 -0.746995 -0.954279 -0.539711 poor
21-Jan-2018 01:06:42 -18.880600 -69.444500 116.000000 6.300000 100.885480 254.153430 2.232437 SKS 85.000000 2.153846 75.000000 154.000000 0.205128 4.000000 12669.298907 -0.596265 -0.802740 -0.389790 poor
28-Aug-2018 07:08:11 -10.773000 124.187100 14.000000 6.200000 110.005940 84.965930 2.232437 SKS 99.000000 1.641026 -Inf Inf 0.000000 Inf 97619.189081 -0.641587 -0.940248 -0.342926 poor
07-Sep-2018 02:12:06 -2.253200 -78.790300 110.500000 6.200000 95.643330 272.545970 2.232437 SKS 99.000000 2.666667 95.000000 105.000000 1.128205 4.000000 3406.401901 -0.260297 -0.418149 -0.102445 poor
08-Sep-2018 07:16:49 7.237700 126.477900 10.000000 6.200000 98.481960 70.546790 2.232437 SKS 96.000000 1.025641 85.000000 114.000000 0.615385 1.538462 14908.342108 -0.706279 -0.831411 -0.581147 average
28-Sep-2018 10:02:45 -0.255900 119.846200 20.000000 7.500000 99.475940 80.589210 2.232437 SKS 160.000000 1.641026 -Inf Inf 0.000000 Inf 10789.425435 -0.491341 -0.658207 -0.324476 poor
01-Nov-2018 22:19:51 -19.582700 -69.265600 102.000000 6.200000 101.256490 253.524280 2.232437 SKS 97.000000 1.333333 82.000000 137.000000 0.512821 2.564103 8407.444197 -0.918170 -1.088193 -0.748148 average
15-Nov-2018 20:02:22 -56.706500 -25.546000 15.000000 6.400000 108.122860 202.977810 2.232437 SKS 120.000000 2.564103 113.000000 22.000000 0.000000 4.000000 19069.219957 0.409744 0.218209 0.601279 poor
11-Dec-2018 02:26:29 -58.544600 -26.385600 133.000000 7.100000 109.939680 202.408130 2.232437 SKS 174.000000 0.717949 -Inf Inf 0.000000 Inf 37463.673755 0.543456 0.247793 0.839118 poor
06-Jan-2019 17:27:18 2.258000 126.758000 43.210000 6.600000 102.365030 73.704520 2.232437 SKS 165.000000 3.794872 -Inf Inf 0.000000 Inf 6934.984580 -0.014885 -0.116765 0.086996 null-measurement
01-Mar-2019 08:50:42 -14.713100 -70.154600 267.000000 7.000000 98.438760 257.630010 2.232437 SKS 87.000000 2.564103 78.000000 160.000000 0.205128 4.000000 9543.650527 -0.587036 -0.820142 -0.353930 poor
31-Mar-2019 07:04:04 -1.944600 -80.810100 18.000000 6.200000 96.838090 274.214510 2.232437 SKS 99.000000 3.076923 -Inf Inf 0.000000 Inf 14502.561662 -0.144241 -0.308799 0.020316 null-measurement
31-May-2019 10:12:32 6.279500 126.479000 98.720000 6.100000 99.196240 71.188440 2.232437 SKS 94.000000 1.230769 84.000000 112.000000 0.717949 1.846154 10850.868059 -0.752935 -0.927685 -0.578186 good
24-Jun-2019 02:53:39 -6.407800 129.169200 212.000000 7.300000 110.348500 77.976280 2.232437 SKS 106.000000 0.717949 -Inf Inf 0.000000 Inf 32624.394398 -0.554013 -0.764255 -0.343772 poor
26-Jun-2019 05:23:51 8.461200 -82.754000 32.580000 6.200000 90.707070 282.819750 2.232437 SKS 176.000000 1.025641 106.000000 10.000000 0.102564 4.000000 13252.215653 -0.543226 -0.691637 -0.394815 poor
28-Jun-2019 15:51:31 19.851500 144.347700 410.000000 6.400000 99.337730 48.919540 2.232437 SKS 120.000000 1.538462 87.000000 133.000000 0.512821 3.487179 22245.081021 -0.762287 -0.979944 -0.544630 average
07-Jul-2019 15:08:40 0.512600 126.189200 35.000000 6.900000 103.266290 75.336650 2.232437 SKS 150.000000 1.128205 76.000000 165.000000 0.000000 4.000000 11052.425252 -0.499463 -0.652052 -0.346873 poor
14-Jul-2019 09:10:51 -0.585800 128.034000 18.980000 7.200000 105.323470 74.696960 2.232437 SKS 151.000000 1.025641 -Inf Inf 0.000000 Inf 36332.631673 -0.432126 -0.616060 -0.248192 poor
19-Sep-2019 07:06:33 -6.070800 111.842200 610.000000 6.100000 98.035390 90.468700 2.232437 SKS 173.000000 2.153846 -Inf Inf 0.000000 Inf 37463.453432 -0.354048 -0.582289 -0.125808 poor
