date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max delta_XC phi_XC Qa E_red Eig_ratio category 
19-Apr-2016 05:25:39 -55.728300 -27.230700 14.000000 6.200000 107.386070 203.693060 0.825852 SKS 23.000000 4.000000 -Inf Inf 0.000000 Inf 52232.337284 -0.005091 -0.246995 0.236813 0.000000 66.693060 -0.971171 1.056827 0.075870 poor 
20-Apr-2016 08:33:47 0.639000 -80.210400 14.000000 6.200000 93.672380 274.660570 0.825852 SKS 174.000000 2.358974 -Inf Inf 0.000000 Inf 31330.368175 -0.485464 -0.751385 -0.219544 0.481143 -46.339430 -0.695444 83.616855 0.039324 poor 
07-Jun-2016 10:51:37 18.363700 -105.173100 10.000000 6.300000 96.706350 304.827110 0.825852 SKS 118.000000 2.974359 108.000000 122.000000 1.025641 4.000000 8542.757815 0.323491 0.081417 0.565565 0.304690 72.827110 -0.904371 89.629993 0.015182 poor 
07-Jun-2016 19:15:15 1.278900 126.371200 31.000000 6.300000 103.693920 73.692470 0.825852 SKS 75.000000 4.000000 -Inf Inf 0.000000 Inf 11882.832917 0.080060 -0.028257 0.188377 0.083099 30.692470 -0.963844 5.121064 0.020247 null-measurement 
25-Jul-2016 17:26:50 -26.106700 -70.511100 72.000000 6.100000 105.753300 248.683090 0.825852 SKS 147.000000 0.820513 -Inf Inf 0.000000 Inf 9213.541265 -0.291124 -0.396896 -0.185352 0.298168 -66.316910 -0.380888 39.398273 0.026805 poor 
29-Jul-2016 21:18:24 18.542900 145.507300 196.000000 7.700000 101.703880 47.696410 0.825852 SKS 123.000000 1.025641 54.000000 135.000000 0.102564 2.871795 14720.144673 -0.435354 -0.555555 -0.315153 0.479091 -85.303590 -0.165821 54.965340 0.035916 poor 
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 100.176500 248.490820 0.825852 SKS 151.000000 1.846154 69.000000 158.000000 0.000000 4.000000 11708.091157 -0.295703 -0.435956 -0.155450 0.317342 -70.509180 -0.753072 48.534457 0.035805 poor 
04-Aug-2016 16:24:33 24.944700 142.014100 510.000000 6.300000 94.583100 46.858330 0.825852 SKS 118.000000 1.538462 103.000000 126.000000 0.923077 2.358974 10935.001706 -0.797778 -0.987972 -0.607585 0.847191 -85.141670 0.034229 92.026198 0.103130 good 
19-Aug-2016 07:32:22 -55.285200 -31.876600 10.000000 7.400000 108.386670 206.305540 0.825852 SKS 120.000000 3.487179 -Inf Inf 0.000000 Inf 15515.293501 0.200411 -0.016931 0.417752 0.236541 -15.694460 -0.917452 30.657158 0.016896 poor 
18-Feb-2017 12:10:17 -23.861300 -66.659200 222.000000 6.400000 101.679450 247.827700 0.825852 SKS 151.000000 1.230769 -Inf Inf 0.000000 Inf 16598.729898 -0.193629 -0.328686 -0.058572 0.219248 -70.172300 -0.739294 23.179961 0.040133 poor 
21-Feb-2017 14:09:04 -19.281400 -63.904700 595.980000 6.500000 96.619770 249.216200 0.825852 SKS 151.000000 0.820513 -Inf Inf 0.000000 Inf 18782.796321 -0.195777 -0.313522 -0.078033 0.183683 -66.783800 -0.617023 17.744223 0.042836 poor 
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 101.955090 248.962030 0.825852 SKS 155.000000 2.358974 -Inf Inf 0.000000 Inf 6061.912141 -0.206487 -0.315902 -0.097072 0.197557 -69.037970 -0.895901 41.597397 0.012276 poor 
