date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max category
20-Apr-2016 08:33:47 0.639000 -80.210400 14.000000 6.200000 93.844450 274.725680 -1.865534 SKS 93.000000 4.000000 -Inf Inf 0.000000 Inf 3462.913235 -0.079901 -0.186323 0.026521 null-measurement
07-Jun-2016 19:15:15 1.278900 126.371200 31.000000 6.300000 103.795990 73.980790 -1.865534 SKS 165.000000 3.076923 -Inf Inf 0.000000 Inf 6517.156891 0.037380 -0.048442 0.123202 null-measurement
25-Jul-2016 17:26:50 -26.106700 -70.511100 72.000000 6.100000 105.588830 248.591380 -1.865534 SKS 77.000000 1.538462 -Inf Inf 0.000000 Inf 7457.050610 -0.352543 -0.485772 -0.219314 poor
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 100.010040 248.473690 -1.865534 SKS 72.000000 2.974359 -Inf Inf 0.000000 Inf 14435.176769 -0.191219 -0.323082 -0.059355 poor
04-Aug-2016 16:24:33 24.944700 142.014100 510.000000 6.300000 95.007660 47.017790 -1.865534 SKS 57.000000 0.820513 47.000000 134.000000 0.102564 3.282051 8241.750126 -0.253486 -0.334262 -0.172710 poor
19-Aug-2016 07:32:22 -55.285200 -31.876600 10.000000 7.400000 107.774890 206.277630 -1.865534 SKS 119.000000 2.256410 -Inf Inf 0.000000 Inf 4042.718606 0.156379 0.049285 0.263473 poor
21-Aug-2016 03:45:23 -55.313300 -31.750800 12.000000 6.100000 107.758800 206.198260 -1.865534 SKS 30.000000 2.461538 26.000000 47.000000 0.205128 4.000000 5836.847929 -0.133484 -0.229411 -0.037557 null-measurement
20-Nov-2016 20:57:44 -31.622600 -68.625900 108.000000 6.400000 108.073130 243.173720 -1.865534 SKS 70.000000 1.435897 -Inf Inf 0.000000 Inf 212718.410233 -0.275913 -0.489552 -0.062273 poor
10-Jan-2017 06:13:48 4.478200 122.617100 627.170000 7.300000 98.898360 74.552600 -1.865534 SKS 83.000000 1.538462 -Inf Inf 0.000000 Inf 13758.772865 -0.348195 -0.542835 -0.153555 poor
18-Feb-2017 12:10:17 -23.861300 -66.659200 222.000000 6.400000 101.504450 247.791270 -1.865534 SKS 73.000000 2.769231 67.000000 134.000000 0.102564 4.000000 6200.003525 -0.212980 -0.370032 -0.055927 poor
21-Feb-2017 14:09:04 -19.281400 -63.904700 595.980000 6.500000 96.462810 249.244840 -1.865534 SKS 76.000000 1.641026 -Inf Inf 0.000000 Inf 13954.104787 -0.286028 -0.417131 -0.154926 poor
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 101.794480 248.921210 -1.865534 SKS 77.000000 1.435897 69.000000 156.000000 0.102564 4.000000 3923.827360 -0.329581 -0.431949 -0.227213 poor
11-Aug-2017 05:28:25 14.006500 120.739100 172.000000 6.200000 90.688550 69.398520 -1.865534 SKS 109.000000 0.205128 -Inf Inf 0.000000 Inf 6347.268762 -0.186934 -0.363973 -0.009895 poor
10-Oct-2017 06:32:21 -18.571500 -69.752600 85.000000 6.300000 99.908710 253.693990 -1.865534 SKS 91.000000 0.717949 -Inf Inf 0.000000 Inf 13577.019663 -0.371491 -0.519833 -0.223148 poor
02-Apr-2018 13:40:34 -20.658800 -63.005800 559.000000 6.800000 96.846620 247.666790 -1.865534 SKS 77.000000 1.333333 67.000000 156.000000 0.000000 4.000000 7947.598811 -0.341973 -0.474392 -0.209553 poor
28-Jul-2018 17:07:23 -7.103900 122.726300 578.160000 6.000000 107.274630 82.717430 -1.865534 SKS 75.000000 1.333333 -Inf Inf 0.000000 Inf 14758.468534 0.253265 0.095943 0.410586 poor
17-Aug-2018 15:35:01 -7.371800 119.801700 529.000000 6.500000 105.396070 85.043020 -1.865534 SKS 176.000000 4.000000 -Inf Inf 0.000000 Inf 4346.135634 -0.036400 -0.116699 0.043898 null-measurement
24-Aug-2018 09:04:08 -11.035500 -70.828400 630.000000 7.100000 95.393080 259.844830 -1.865534 SKS 84.000000 2.051282 79.000000 156.000000 0.102564 4.000000 4766.200275 -0.141494 -0.240385 -0.042604 null-measurement
28-Aug-2018 07:08:11 -10.773000 124.187100 14.000000 6.200000 110.872110 84.405290 -1.865534 SKS 83.000000 4.000000 -Inf Inf 0.000000 Inf 6908.173667 0.042965 -0.052787 0.138717 null-measurement
07-Sep-2018 02:12:06 -2.253200 -78.790300 110.500000 6.200000 94.873890 271.674420 -1.865534 SKS 104.000000 0.512821 92.000000 1.000000 0.000000 3.692308 2651.547393 -0.204562 -0.257615 -0.151509 poor
01-Nov-2018 22:19:51 -19.582700 -69.265600 102.000000 6.200000 100.278950 252.632370 -1.865534 SKS 84.000000 0.923077 -Inf Inf 0.000000 Inf 10673.116209 -0.315606 -0.403530 -0.227682 poor
15-Nov-2018 20:02:22 -56.706500 -25.546000 15.000000 6.400000 107.136560 202.318590 -1.865534 SKS 123.000000 2.051282 114.000000 7.000000 0.205128 4.000000 16127.853302 0.553267 0.376006 0.730528 poor
11-Dec-2018 02:26:29 -58.544600 -26.385600 133.000000 7.100000 108.957890 201.768390 -1.865534 SKS 28.000000 4.000000 22.000000 35.000000 1.025641 4.000000 18491.905450 -0.166746 -0.386383 0.052892 poor
