date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max delta_XC phi_XC Qa E_red Eig_ratio category 
15-Apr-2016 14:11:26 13.400800 -92.367000 22.410000 6.100000 92.861870 292.537380 9.243072 SKS 98.000000 1.435897 61.000000 107.000000 0.410256 2.769231 7881.373650 0.559762 0.405704 0.713820 0.538813 65.537380 -0.349611 88.268726 0.048895 average 
20-Apr-2016 08:33:47 0.639000 -80.210400 14.000000 6.200000 93.996150 275.039990 9.243072 SKS 2.000000 1.743590 -Inf Inf 0.000000 Inf 4442.510629 -0.135341 -0.240313 -0.030368 0.149780 -43.960010 -0.938399 16.714236 0.009063 null-measurement 
07-Jun-2016 10:51:37 18.363700 -105.173100 10.000000 6.300000 96.824380 305.236350 9.243072 SKS 78.000000 1.538462 43.000000 115.000000 0.410256 3.076923 97474.948269 1.554840 1.327138 1.782542 1.423498 80.236350 0.873084 94.570880 0.263910 average 
07-Jun-2016 19:15:15 1.278900 126.371200 31.000000 6.300000 103.275220 74.008200 9.243072 SKS 86.000000 2.051282 74.000000 158.000000 0.102564 4.000000 26414.865496 -0.542688 -0.800759 -0.284616 0.538202 -55.991800 -0.585867 78.777989 0.057889 poor 
25-Jul-2016 17:26:50 -26.106700 -70.511100 72.000000 6.100000 106.185330 249.083500 9.243072 SKS 122.000000 0.615385 81.000000 148.000000 0.307692 1.435897 2497.375930 -0.570285 -0.627066 -0.513504 0.582267 -64.916500 0.769696 94.501426 0.032492 good 
29-Jul-2016 21:18:24 18.542900 145.507300 196.000000 7.700000 101.247960 48.058970 9.243072 SKS 96.000000 1.435897 83.000000 109.000000 1.128205 1.743590 7186.750185 -1.512981 -1.626133 -1.399829 1.449927 -79.941030 0.871707 98.124778 0.172512 good 
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 100.609050 248.875930 9.243072 SKS 113.000000 0.512821 79.000000 147.000000 0.307692 1.333333 2776.072204 -0.519284 -0.580480 -0.458088 0.516854 -64.124070 0.908947 84.357286 0.027646 average 
04-Aug-2016 16:24:33 24.944700 142.014100 510.000000 6.300000 94.127510 47.219030 9.243072 SKS 98.000000 1.743590 85.000000 109.000000 1.333333 2.153846 21034.712104 -1.852700 -2.082007 -1.623393 1.803053 -70.780970 0.644348 97.543548 0.435094 good 
19-Aug-2016 07:32:22 -55.285200 -31.876600 10.000000 7.400000 108.804430 206.602690 9.243072 SKS 27.000000 4.000000 -Inf Inf 0.000000 Inf 9533.514948 0.032459 -0.137552 0.202470 0.027064 -17.397310 -0.979852 2.227420 0.008604 null-measurement 
21-Aug-2016 03:45:23 -55.313300 -31.750800 12.000000 6.100000 108.788680 206.522780 9.243072 SKS 128.000000 1.948718 -Inf Inf 0.000000 Inf 63565.684574 0.415891 0.135921 0.695862 0.493332 -8.477220 -0.728119 38.037613 0.095394 poor 
25-Dec-2016 14:22:27 -43.406400 -73.941300 38.000000 7.600000 119.546150 236.763480 9.243072 SKIKS 72.000000 1.230769 59.000000 137.000000 0.307692 3.589744 6060.404060 -0.551160 -0.662405 -0.439916 0.558598 -78.236520 -0.213039 64.737642 0.019891 poor 
10-Jan-2017 06:13:48 4.478200 122.617100 627.170000 7.300000 98.387660 74.660690 9.243072 SKS 86.000000 1.435897 -Inf Inf 0.000000 Inf 87476.729781 -0.456597 -0.666513 -0.246682 0.457303 -58.339310 -0.478150 78.173529 0.027634 poor 
18-Feb-2017 12:10:17 -23.861300 -66.659200 222.000000 6.400000 102.113650 248.215720 9.243072 SKS 102.000000 1.128205 85.000000 126.000000 0.717949 1.743590 8692.449423 -1.037204 -1.179594 -0.894814 1.021788 -68.784280 0.681135 94.041726 0.103033 good 
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 102.386410 249.352570 9.243072 SKS 124.000000 0.615385 76.000000 154.000000 0.307692 2.256410 5130.849167 -0.556706 -0.647018 -0.466394 0.581949 -68.647430 0.595171 82.851668 0.028952 average 
10-May-2017 23:23:36 -56.414000 -25.743200 15.000000 6.500000 107.978020 202.868630 9.243072 SKS 172.000000 1.743590 -Inf Inf 0.000000 Inf 102386.385127 1.366909 0.900125 1.833692 1.440645 -34.131370 0.142798 66.140939 0.188335 poor 
12-May-2017 10:41:26 12.918700 -90.061100 16.000000 6.200000 91.725770 290.540180 9.243072 SKS 130.000000 0.615385 -Inf Inf 0.000000 Inf 179834.378649 -0.344744 -0.683109 -0.006379 0.446629 -23.459820 0.080170 13.772104 0.072285 poor 
