date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max category
18-May-2016 16:46:43 0.494700 -79.616000 29.950000 6.900000 93.430720 274.142000 -18.074413 SKS 166.000000 1.230769 -Inf Inf 0.000000 Inf 6827.198773 -0.666534 -0.875289 -0.457778 poor
25-Jul-2016 17:26:50 -26.106700 -70.511100 72.000000 6.100000 105.611790 248.590150 -18.074413 SKS 98.000000 0.615385 75.000000 149.000000 0.307692 1.743590 4594.392635 -0.504446 -0.579419 -0.429474 average
29-Jul-2016 21:18:24 18.542900 145.507300 196.000000 7.700000 102.002430 47.809590 -18.074413 SKS 54.000000 1.948718 -Inf Inf 0.000000 Inf 32024.150965 -0.254529 -0.454895 -0.054163 poor
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 100.033610 248.445210 -18.074413 SKS 127.000000 0.512821 71.000000 156.000000 0.102564 2.871795 8373.686163 -0.433703 -0.529511 -0.337895 poor
20-Nov-2016 20:57:44 -31.622600 -68.625900 108.000000 6.400000 108.121130 243.184120 -18.074413 SKS 78.000000 0.820513 -Inf Inf 0.000000 Inf 63723.980999 -0.335664 -0.566636 -0.104693 poor
10-Jan-2017 06:13:48 4.478200 122.617100 627.170000 7.300000 98.901440 74.436850 -18.074413 SKS 171.000000 2.769231 -Inf Inf 0.000000 Inf 71488.846549 0.306495 -0.086421 0.699412 poor
18-Feb-2017 12:10:17 -23.861300 -66.659200 222.000000 6.400000 101.531180 247.769920 -18.074413 SKS 99.000000 0.512821 74.000000 150.000000 0.205128 1.538462 4370.055744 -0.433588 -0.500905 -0.366271 average
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 101.815950 248.901340 -18.074413 SKS 149.000000 1.230769 72.000000 158.000000 0.102564 4.000000 4798.462343 -0.364938 -0.462481 -0.267395 poor
10-Oct-2017 06:32:21 -18.571500 -69.752600 85.000000 6.300000 99.907940 253.665100 -18.074413 SKS 145.000000 0.717949 -Inf Inf 0.000000 Inf 24380.375991 -0.406307 -0.566540 -0.246074 poor
02-Apr-2018 13:40:34 -20.658800 -63.005800 559.000000 6.800000 96.873990 247.623270 -18.074413 SKS 138.000000 0.923077 -Inf Inf 0.000000 Inf 28372.353600 -0.535551 -0.731769 -0.339332 poor
24-Aug-2018 09:04:08 -11.035500 -70.828400 630.000000 7.100000 95.363720 259.794250 -18.074413 SKS 97.000000 0.410256 -Inf Inf 0.000000 Inf 4901.650832 -0.215070 -0.285161 -0.144978 poor
28-Aug-2018 22:35:13 16.804400 146.839500 55.000000 6.400000 104.150340 47.694100 -18.074413 SKS 56.000000 1.538462 48.000000 131.000000 0.102564 3.589744 13847.707440 -0.319222 -0.430649 -0.207795 poor
07-Sep-2018 02:12:06 -2.253200 -78.790300 110.500000 6.200000 94.790690 271.620230 -18.074413 SKS 173.000000 1.025641 -Inf Inf 0.000000 Inf 5011.730236 -0.262106 -0.348388 -0.175824 poor
28-Sep-2018 10:02:45 -0.255900 119.846200 20.000000 7.500000 100.418020 79.764170 -18.074413 SKS 174.000000 3.692308 -Inf Inf 0.000000 Inf 16213.702646 0.181975 -0.019663 0.383614 poor
10-Oct-2018 18:44:55 -7.452500 114.455300 9.000000 6.000000 101.727080 88.795940 -18.074413 SKS 81.000000 4.000000 -Inf Inf 0.000000 Inf 69692.882078 0.018275 -0.461550 0.498100 null-measurement
01-Nov-2018 22:19:51 -19.582700 -69.265600 102.000000 6.200000 100.283130 252.605270 -18.074413 SKS 116.000000 0.410256 82.000000 152.000000 0.307692 1.128205 2396.163611 -0.417270 -0.465070 -0.369469 good
11-Dec-2018 02:26:29 -58.544600 -26.385600 133.000000 7.100000 109.167800 201.750320 -18.074413 SKS 25.000000 4.000000 -Inf Inf 0.000000 Inf 18714.315095 -0.048745 -0.244242 0.146752 null-measurement
06-Jan-2019 17:27:18 2.258000 126.758000 43.210000 6.600000 103.338780 72.870550 -18.074413 SKS 166.000000 4.000000 -Inf Inf 0.000000 Inf 19772.142650 0.012552 -0.224903 0.250006 null-measurement
01-Mar-2019 08:50:42 -14.713100 -70.154600 267.000000 7.000000 97.482720 256.711810 -18.074413 SKS 136.000000 0.410256 77.000000 166.000000 0.000000 4.000000 4804.216990 -0.345908 -0.444763 -0.247053 poor
12-Apr-2019 11:40:49 -1.814600 122.579800 15.460000 6.800000 103.438240 78.852270 -18.074413 SKS 172.000000 4.000000 -Inf Inf 0.000000 Inf 7082.586363 0.142319 0.011250 0.273388 null-measurement
07-Jul-2019 15:08:40 0.512600 126.189200 35.000000 6.900000 104.233790 74.512800 -18.074413 SKS 170.000000 1.846154 -Inf Inf 0.000000 Inf 60252.345210 0.225364 0.034174 0.416554 poor
29-Oct-2019 01:04:43 6.756700 125.008200 15.000000 6.600000 98.843180 71.111240 -18.074413 SKS 76.000000 3.794872 -Inf Inf 0.000000 Inf 55993.006558 0.121080 -0.110855 0.353015 null-measurement
