date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max delta_XC phi_XC Qa E_red Eig_ratio category 
20-Apr-2016 08:33:47 0.639000 -80.210400 14.000000 6.200000 93.978230 274.806520 -17.237867 SKS 7.000000 4.000000 -Inf Inf 0.000000 Inf 14651.495552 0.028747 -0.149485 0.206978 0.000000 -37.193480 -0.982158 20.807685 0.021368 null-measurement 
18-May-2016 07:57:02 0.426100 -79.789900 16.000000 6.700000 93.827820 274.358950 -17.237867 SKS 8.000000 3.282051 -Inf Inf 0.000000 Inf 10336.663874 0.120867 -0.024139 0.265872 0.125794 54.358950 -0.993049 34.366522 0.027456 null-measurement 
18-May-2016 16:46:43 0.494700 -79.616000 29.950000 6.900000 93.655710 274.285100 -17.237867 SKS 8.000000 3.179487 -Inf Inf 0.000000 Inf 14260.809206 0.171964 -0.018198 0.362126 0.185320 52.285100 -0.926294 44.393914 0.023933 poor 
25-Jul-2016 17:26:50 -26.106700 -70.511100 72.000000 6.100000 105.560050 248.594330 -17.237867 SKS 70.000000 1.333333 -Inf Inf 0.000000 Inf 19254.672070 -0.051729 -0.187617 0.084158 0.057303 -67.405670 -0.903592 3.537467 0.014035 null-measurement 
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 99.980620 248.513680 -17.237867 SKS 71.000000 3.487179 -Inf Inf 0.000000 Inf 5098.616805 -0.065077 -0.180419 0.050266 0.081192 -63.486320 -0.988435 53.875215 0.006383 null-measurement 
04-Aug-2016 16:24:33 24.944700 142.014100 510.000000 6.300000 95.168490 47.148250 -17.237867 SKS 123.000000 1.025641 56.000000 135.000000 0.102564 2.871795 15714.629059 -0.404959 -0.520425 -0.289493 0.400391 -89.851750 -0.345059 79.556849 0.035824 average 
19-Aug-2016 07:32:22 -55.285200 -31.876600 10.000000 7.400000 107.510110 206.302050 -17.237867 SKS 22.000000 3.179487 -Inf Inf 0.000000 Inf 9932.074731 0.243879 0.029530 0.458228 0.268930 -22.697950 -0.910293 46.126440 0.011751 poor 
21-Aug-2016 03:45:23 -55.313300 -31.750800 12.000000 6.100000 107.493680 206.222870 -17.237867 SKS 114.000000 4.000000 -Inf Inf 0.000000 Inf 6233.413961 0.029110 -0.063310 0.121530 0.023913 -20.777130 -0.999004 21.712209 0.014998 null-measurement 
23-Aug-2016 19:39:44 -7.287200 122.434500 533.000000 6.000000 107.136680 83.278630 -17.237867 SKS 4.000000 4.000000 -Inf Inf 0.000000 Inf 114261.142847 0.808077 0.257279 1.358875 0.917636 56.278630 -0.971531 47.790740 0.076207 poor 
24-Nov-2016 18:43:47 11.909700 -88.896800 10.000000 6.900000 92.026440 288.842070 -17.237867 SKS 108.000000 2.769231 -Inf Inf 0.000000 Inf 3306.315464 0.048162 -0.015039 0.111364 0.039717 63.842070 -0.966950 17.085388 0.003637 null-measurement 
18-Feb-2017 12:10:17 -23.861300 -66.659200 222.000000 6.400000 101.470700 247.821580 -17.237867 SKS 160.000000 3.282051 -Inf Inf 0.000000 Inf 27417.124380 0.056828 -0.127898 0.241554 0.036444 24.821580 -0.984944 13.233933 0.028457 null-measurement 
21-Feb-2017 14:09:04 -19.281400 -63.904700 595.980000 6.500000 96.438330 249.307620 -17.237867 SKS 164.000000 1.435897 -Inf Inf 0.000000 Inf 80902.048338 0.141243 -0.026148 0.308634 0.127894 26.307620 -0.851331 30.402466 0.017290 null-measurement 
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 101.767860 248.949480 -17.237867 SKS 72.000000 4.000000 -Inf Inf 0.000000 Inf 8187.445430 -0.180862 -0.337081 -0.024644 0.184465 -62.050520 -0.976127 55.575304 0.015002 poor 
22-Jun-2017 12:31:03 13.717400 -90.971800 38.120000 6.800000 92.105130 291.549960 -17.237867 SKS 111.000000 4.000000 -Inf Inf 0.000000 Inf 3301.126472 -0.013428 -0.111926 0.085069 0.021104 -23.450040 -1.007022 6.089137 0.010253 null-measurement 
11-Aug-2017 05:28:25 14.006500 120.739100 172.000000 6.200000 90.713740 69.504680 -17.237867 SKS 163.000000 2.358974 -Inf Inf 0.000000 Inf 4796.375541 0.161318 0.046429 0.276207 0.207963 27.504680 -0.902400 39.562725 0.029057 poor 
23-Sep-2017 12:53:01 16.625800 -95.077800 10.000000 6.100000 92.640640 296.430700 -17.237867 SKS 45.000000 0.717949 -Inf Inf 0.000000 Inf 26812.328443 0.390559 0.190733 0.590385 0.398192 73.430700 -0.093180 45.613805 0.047233 poor 
10-Oct-2017 06:32:21 -18.571500 -69.752600 85.000000 6.300000 99.912360 253.734390 -17.237867 SKS 79.000000 4.000000 74.000000 81.000000 1.641026 4.000000 10346.076947 -0.155175 -0.293122 -0.017227 0.156961 -57.265610 -0.932667 55.221215 0.026072 poor 
02-Apr-2018 13:40:34 -20.658800 -63.005800 559.000000 6.800000 96.812160 247.727220 -17.237867 SKS 69.000000 4.000000 -Inf Inf 0.000000 Inf 4580.924380 -0.017951 -0.089963 0.054060 0.022154 -68.272780 -0.944475 9.415586 0.016232 null-measurement 
17-Aug-2018 15:35:01 -7.371800 119.801700 529.000000 6.500000 105.322660 85.242140 -17.237867 SKS 73.000000 1.230769 179.000000 83.000000 0.102564 3.897436 9436.400178 0.417634 0.290514 0.544755 0.444944 38.242140 -0.417221 63.023617 0.040085 poor 
24-Aug-2018 09:04:08 -11.035500 -70.828400 630.000000 7.100000 95.435690 259.914490 -17.237867 SKS 0.000000 1.230769 -Inf Inf 0.000000 Inf 23820.873060 0.315192 0.143376 0.487008 0.331216 40.914490 -0.649763 45.561500 0.045587 poor 
07-Sep-2018 02:12:06 -2.253200 -78.790300 110.500000 6.200000 94.989510 271.748640 -17.237867 SKS 97.000000 4.000000 -Inf Inf 0.000000 Inf 15298.572277 0.229002 0.032457 0.425547 0.218075 55.748640 -0.862401 69.936276 0.019777 poor 
28-Sep-2018 10:02:45 -0.255900 119.846200 20.000000 7.500000 100.349010 80.054430 -17.237867 SKS 61.000000 0.820513 -Inf Inf 0.000000 Inf 67323.977413 0.475925 0.272768 0.679081 0.475037 31.054430 -0.113657 57.395999 0.026749 poor 
