date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max category
20-Apr-2016 08:33:47 0.639000 -80.210400 14.000000 6.200000 93.486840 274.288470 -3.268731 SKS 88.000000 3.487179 30.000000 93.000000 0.205128 4.000000 10925.240622 0.303668 0.093953 0.513382 poor
28-May-2016 09:46:59 -56.240900 -26.935300 78.000000 7.200000 106.416490 202.905260 -3.268731 SKS 33.000000 4.000000 24.000000 40.000000 1.538462 4.000000 24237.044427 -0.219502 -0.614117 0.175114 average
25-Jul-2016 17:26:50 -26.106700 -70.511100 72.000000 6.100000 104.995400 248.084790 -3.268731 SKS 153.000000 4.000000 -Inf Inf 0.000000 Inf 49607.248812 -0.187510 -0.440653 0.065633 poor
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 99.415920 248.007620 -3.268731 SKS 72.000000 3.487179 -Inf Inf 0.000000 Inf 28407.524502 -0.236474 -0.467019 -0.005930 poor
04-Aug-2016 16:24:33 24.944700 142.014100 510.000000 6.300000 95.705550 46.631610 -3.268731 SKS 52.000000 1.025641 46.000000 135.000000 0.000000 4.000000 5625.245639 -0.159354 -0.219720 -0.098988 poor
19-Aug-2016 07:32:22 -55.285200 -31.876600 10.000000 7.400000 107.069830 205.911820 -3.268731 SKS 114.000000 4.000000 -Inf Inf 0.000000 Inf 12936.346782 -0.084248 -0.259973 0.091476 null-measurement
20-Sep-2016 16:21:16 30.501700 142.047800 9.000000 6.100000 91.167650 43.435900 -3.268731 SKKS 58.000000 0.717949 -Inf Inf 0.000000 Inf 2647.919504 -0.299452 -0.509334 -0.089571 poor
20-Nov-2016 20:57:44 -31.622600 -68.625900 108.000000 6.400000 107.444910 242.666990 -3.268731 SKS 156.000000 4.000000 -Inf Inf 0.000000 Inf 46758.747789 0.130497 -0.093540 0.354535 null-measurement
21-Feb-2017 14:09:04 -19.281400 -63.904700 595.980000 6.500000 95.874140 248.802750 -3.268731 SKS 154.000000 3.897436 150.000000 158.000000 1.025641 4.000000 10812.602624 -0.026116 -0.188670 0.136438 null-measurement
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 101.203420 248.441530 -3.268731 SKS 66.000000 4.000000 -Inf Inf 0.000000 Inf 12090.691960 0.010286 -0.139996 0.160567 null-measurement
10-May-2017 23:23:36 -56.414000 -25.743200 15.000000 6.500000 106.238370 202.214520 -3.268731 SKS 110.000000 4.000000 -Inf Inf 0.000000 Inf 484504.971555 -0.205528 -0.485729 0.074673 poor
10-Oct-2017 06:32:21 -18.571500 -69.752600 85.000000 6.300000 99.353030 253.219800 -3.268731 SKS 72.000000 4.000000 -Inf Inf 0.000000 Inf 7409.972000 -0.025993 -0.125006 0.073020 null-measurement
24-Oct-2017 10:47:47 -7.216800 123.073500 553.810000 6.700000 108.080980 82.314390 -3.268731 SKS 10.000000 1.333333 -Inf Inf 0.000000 Inf 22077.069003 0.656618 0.433001 0.880236 poor
02-Apr-2018 13:40:34 -20.658800 -63.005800 559.000000 6.800000 96.247060 247.223840 -3.268731 SKS 64.000000 3.692308 -Inf Inf 0.000000 Inf 10118.646514 -0.095952 -0.238363 0.046460 null-measurement
28-Jul-2018 22:47:38 -8.239500 116.508000 14.000000 6.400000 104.094610 87.780970 -3.268731 SKS 96.000000 4.000000 -Inf Inf 0.000000 Inf 48801.327669 0.408436 0.036118 0.780754 poor
24-Aug-2018 09:04:08 -11.035500 -70.828400 630.000000 7.100000 94.888730 259.401260 -3.268731 SKS 75.000000 2.974359 72.000000 77.000000 1.641026 4.000000 2017.667209 0.094616 -0.010642 0.199874 null-measurement
07-Sep-2018 02:12:06 -2.253200 -78.790300 110.500000 6.200000 94.483860 271.227800 -3.268731 SKS 89.000000 1.333333 -Inf Inf 0.000000 Inf 1699.524628 0.089885 0.043959 0.135811 null-measurement
28-Sep-2018 10:02:45 -0.255900 119.846200 20.000000 7.500000 100.896400 79.580400 -3.268731 SKS 19.000000 0.717949 -Inf Inf 0.000000 Inf 22524.621461 0.604746 0.504450 0.705041 good
01-Nov-2018 22:19:51 -19.582700 -69.265600 102.000000 6.200000 99.715050 252.157030 -3.268731 SKS 68.000000 3.794872 64.000000 70.000000 1.846154 4.000000 6259.967691 -0.015292 -0.149371 0.118787 null-measurement
11-Dec-2018 02:26:29 -58.544600 -26.385600 133.000000 7.100000 108.263440 201.423550 -3.268731 SKS 112.000000 4.000000 -Inf Inf 0.000000 Inf 6362.148933 -0.034341 -0.127528 0.058845 null-measurement
05-Jan-2019 19:25:38 -8.144000 -71.587000 570.410000 6.800000 93.416400 261.995990 -3.268731 SKS 159.000000 0.410256 -Inf Inf 0.000000 Inf 4679.156296 -0.173083 -0.264203 -0.081964 poor
06-Jan-2019 17:27:18 2.258000 126.758000 43.210000 6.600000 103.905850 72.713090 -3.268731 SKS 174.000000 1.538462 164.000000 68.000000 0.102564 4.000000 12032.266430 0.502479 0.354085 0.650873 poor
01-Mar-2019 08:50:42 -14.713100 -70.154600 267.000000 7.000000 96.966800 256.293610 -3.268731 SKS 75.000000 3.384615 -Inf Inf 0.000000 Inf 2616.150086 0.038451 -0.029024 0.105925 null-measurement
12-Apr-2019 11:40:49 -1.814600 122.579800 15.460000 6.800000 103.928610 78.709060 -3.268731 SKS 42.000000 0.820513 177.000000 72.000000 0.307692 2.461538 16878.483277 0.775832 0.617996 0.933669 poor
14-Jun-2019 00:19:12 -30.055700 -72.081900 11.000000 6.400000 108.651820 245.969020 -3.268731 SKS 61.000000 4.000000 -Inf Inf 0.000000 Inf 12262.379610 0.215761 -0.005652 0.437173 poor
07-Jul-2019 15:08:40 0.512600 126.189200 35.000000 6.900000 104.780350 74.371030 -3.268731 SKS 17.000000 0.923077 170.000000 63.000000 0.307692 2.666667 15907.849967 0.835275 0.678808 0.991742 average
14-Nov-2019 16:17:40 1.621300 126.415600 33.000000 7.100000 104.133550 73.417420 -3.268731 SKS 45.000000 0.717949 171.000000 67.000000 0.205128 2.358974 7900.650838 0.582339 0.471301 0.693377 poor
