date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max delta_XC phi_XC Qa E_red Eig_ratio category 
15-Apr-2016 14:11:26 13.400800 -92.367000 22.410000 6.100000 93.512570 292.195490 -7.816500 SKS 106.000000 4.000000 -Inf Inf 0.000000 Inf 284980.641514 -0.291224 -0.589500 0.007051 0.274060 -33.804510 -0.825119 72.379882 0.024715 poor 
19-Apr-2016 05:25:39 -55.728300 -27.230700 14.000000 6.200000 105.640210 203.550390 -7.816500 SKS 136.000000 0.410256 -Inf Inf 0.000000 Inf 38988.155501 0.250906 0.042976 0.458836 0.234001 -22.449610 0.090145 19.623021 0.046933 poor 
20-Apr-2016 08:33:47 0.639000 -80.210400 14.000000 6.200000 93.963060 274.660520 -7.816500 SKS 97.000000 4.000000 -Inf Inf 0.000000 Inf 188696.857711 -0.079243 -0.310942 0.152455 0.108818 -37.339480 -0.987915 22.081639 0.031524 null-measurement 
18-May-2016 16:46:43 0.494700 -79.616000 29.950000 6.900000 93.632540 274.144140 -7.816500 SKS 17.000000 1.025641 -Inf Inf 0.000000 Inf 45272.110371 0.405092 0.248707 0.561476 0.417684 51.144140 -0.361673 50.064217 0.032268 poor 
28-May-2016 09:46:59 -56.240900 -26.935300 78.000000 7.200000 105.995850 203.128690 -7.816500 SKS 140.000000 0.615385 -Inf Inf 0.000000 Inf 59267.223259 0.471861 0.266475 0.677247 0.501881 -21.871310 0.373397 54.958444 0.049607 poor 
05-Jun-2016 16:25:33 -4.587000 125.626400 429.620000 6.300000 107.747630 79.114000 -7.816500 SKS 5.000000 1.435897 170.000000 75.000000 0.102564 4.000000 29691.689424 0.578068 0.355057 0.801079 0.576991 38.114000 -0.341122 75.723861 0.076862 poor 
07-Jun-2016 10:51:37 18.363700 -105.173100 10.000000 6.300000 97.934030 304.760140 -7.816500 SKS 36.000000 3.589744 -Inf Inf 0.000000 Inf 8491.187422 0.014196 -0.052524 0.080915 0.000000 -8.239860 -0.983180 8.647819 0.011981 null-measurement 
07-Jun-2016 19:15:15 1.278900 126.371200 31.000000 6.300000 104.120500 74.284420 -7.816500 SKS 21.000000 1.025641 177.000000 54.000000 0.512821 1.948718 10849.724635 0.993083 0.839573 1.146592 1.000318 23.284420 0.920167 91.083566 0.112631 good 
25-Jul-2016 17:26:50 -26.106700 -70.511100 72.000000 6.100000 105.155260 248.293550 -7.816500 SKS 70.000000 4.000000 -Inf Inf 0.000000 Inf 5813.151302 -0.021940 -0.086913 0.043032 0.018490 -65.706450 -0.979709 17.341801 0.012076 null-measurement 
29-Jul-2016 21:18:24 18.542900 145.507300 196.000000 7.700000 102.929650 48.148840 -7.816500 SKS 26.000000 0.717949 158.000000 40.000000 0.307692 1.743590 4400.994071 0.483079 0.417993 0.548166 0.478945 1.148840 0.088080 84.830120 0.027997 average 
