date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max delta_XC phi_XC Qa E_red Eig_ratio category 
15-Apr-2016 14:11:26 13.400800 -92.367000 22.410000 6.100000 93.820020 293.175340 6.060330 SKS 116.000000 4.000000 -Inf Inf 0.000000 Inf 41698.995310 -0.155377 -0.352097 0.041344 0.185540 -17.824660 -0.981061 20.542768 0.033240 poor 
19-Apr-2016 05:25:39 -55.728300 -27.230700 14.000000 6.200000 107.249390 204.351440 6.060330 SKS 121.000000 2.358974 -Inf Inf 0.000000 Inf 30021.882754 0.318909 0.077497 0.560321 0.334880 -15.648560 -0.824448 50.270577 0.024834 poor 
20-Apr-2016 08:33:47 0.639000 -80.210400 14.000000 6.200000 94.739690 275.648220 6.060330 SKS 171.000000 2.051282 -Inf Inf 0.000000 Inf 271333.454234 -0.771737 -1.088801 -0.454673 0.771128 -48.351780 -0.519337 83.809736 0.070745 poor 
07-Jun-2016 10:51:37 18.363700 -105.173100 10.000000 6.300000 97.883280 305.862560 6.060330 SKS 114.000000 1.846154 50.000000 124.000000 0.205128 4.000000 14513.778092 0.570196 0.374886 0.765507 0.561187 77.862560 -0.502894 83.515461 0.049519 poor 
07-Jun-2016 19:15:15 1.278900 126.371200 31.000000 6.300000 102.882090 74.914640 6.060330 SKS 73.000000 4.000000 -Inf Inf 0.000000 Inf 35469.407495 -0.075407 -0.265099 0.114285 0.085491 -62.085360 -0.976826 19.190431 0.017054 null-measurement 
25-Jul-2016 17:26:50 -26.106700 -70.511100 72.000000 6.100000 106.488530 249.440870 6.060330 SKS 140.000000 1.435897 117.000000 150.000000 0.717949 2.358974 6119.920792 -0.803458 -0.961200 -0.645717 0.802149 -66.559130 -0.042246 93.195124 0.062345 good 
29-Jul-2016 21:18:24 18.542900 145.507300 196.000000 7.700000 101.349770 48.943810 6.060330 SKS 125.000000 1.230769 52.000000 138.000000 0.102564 4.000000 21653.464051 -0.491749 -0.647840 -0.335659 0.519101 -84.056190 -0.225781 58.854324 0.040934 poor 
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 100.909350 249.343590 6.060330 SKS 140.000000 1.538462 119.000000 149.000000 0.820513 2.564103 5369.654852 -0.859031 -1.029754 -0.688308 0.857352 -65.656410 -0.020847 96.512950 0.066732 good 
04-Aug-2016 16:24:33 24.944700 142.014100 510.000000 6.300000 94.246490 47.964420 6.060330 SKS 123.000000 1.743590 94.000000 133.000000 0.512821 3.487179 22332.170373 -0.597986 -0.827077 -0.368895 0.591475 87.964420 -0.444152 78.208192 0.069020 average 
21-Aug-2016 03:45:23 -55.313300 -31.750800 12.000000 6.100000 108.286260 206.859700 6.060330 SKS 127.000000 2.358974 -Inf Inf 0.000000 Inf 49763.969995 0.539365 0.236492 0.842238 0.529873 -11.140300 -0.712609 66.480132 0.044186 poor 
23-Aug-2016 19:39:44 -7.287200 122.434500 533.000000 6.000000 106.276660 83.964690 6.060330 SKS 162.000000 1.435897 -Inf Inf 0.000000 Inf 44536.974314 -0.484754 -0.721428 -0.248080 0.480117 -53.035310 -0.448604 67.263839 0.047986 poor 
18-Feb-2017 12:10:17 -23.861300 -66.659200 222.000000 6.400000 102.401290 248.653410 6.060330 SKS 142.000000 1.641026 131.000000 149.000000 1.025641 2.461538 4033.487448 -0.736402 -0.879777 -0.593027 0.777235 -63.346590 -0.090254 93.239214 0.051513 good 
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 102.695330 249.786040 6.060330 SKS 144.000000 1.743590 -Inf Inf 0.000000 Inf 77555.195094 -0.795047 -1.054481 -0.535612 0.793942 -69.213960 -0.297242 88.750638 0.059385 poor 
10-May-2017 23:23:36 -56.414000 -25.743200 15.000000 6.500000 107.413540 203.232480 6.060330 SKS 121.000000 3.076923 -Inf Inf 0.000000 Inf 216904.258477 0.494281 0.146275 0.842288 0.504006 -12.767520 -0.873368 66.279594 0.029436 poor 
24-Oct-2017 10:47:47 -7.216800 123.073500 553.810000 6.700000 106.677470 83.446410 6.060330 SKS 81.000000 2.666667 -Inf Inf 0.000000 Inf 9326.226671 0.157352 0.039588 0.275115 0.185760 38.446410 -0.876038 25.420038 0.015693 poor 
21-Jan-2018 01:06:42 -18.880600 -69.444500 116.000000 6.300000 100.826220 254.146700 6.060330 SKS 148.000000 1.538462 81.000000 162.000000 0.205128 4.000000 15149.015525 -0.699536 -0.907215 -0.491857 0.698144 -62.853300 -0.239701 85.901012 0.052028 poor 
