date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max delta_XC phi_XC Qa E_red Eig_ratio category 
19-Apr-2016 05:25:39 -55.728300 -27.230700 14.000000 6.200000 106.183050 203.974020 -3.728747 SKS 23.000000 4.000000 -Inf Inf 0.000000 Inf 7620.173334 -0.001319 -0.097079 0.094442 0.025598 -24.025980 -1.039271 12.318317 0.011841 null-measurement 
07-Jun-2016 10:51:37 18.363700 -105.173100 10.000000 6.300000 98.181330 305.369850 -3.728747 SKS 46.000000 0.820513 35.000000 124.000000 0.000000 4.000000 5184.928690 0.278967 0.211936 0.345999 0.280386 81.369850 -0.449912 80.225806 0.009980 poor 
07-Jun-2016 19:15:15 1.278900 126.371200 31.000000 6.300000 103.495550 74.765100 -3.728747 SKS 48.000000 1.128205 165.000000 73.000000 0.000000 4.000000 30701.917011 0.841004 0.590831 1.091177 0.868784 31.765100 0.394967 64.320825 0.099827 poor 
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 100.215720 248.841520 -3.728747 SKS 64.000000 2.358974 -Inf Inf 0.000000 Inf 8502.138146 0.261980 0.129976 0.393984 0.267904 20.841520 -0.846938 56.903086 0.016559 poor 
21-Aug-2016 03:45:23 -55.313300 -31.750800 12.000000 6.100000 107.224640 206.465750 -3.728747 SKS 24.000000 4.000000 -Inf Inf 0.000000 Inf 99111.683167 0.220618 0.035593 0.405643 0.238398 -23.534250 -1.000079 27.459077 0.015265 poor 
10-Jan-2017 06:13:48 4.478200 122.617100 627.170000 7.300000 98.588560 75.248560 -3.728747 SKS 0.000000 1.025641 167.000000 71.000000 0.102564 4.000000 7622.095191 0.450437 0.336254 0.564620 0.466781 30.248560 -0.223719 63.263274 0.029446 poor 
21-Feb-2017 14:09:04 -19.281400 -63.904700 595.980000 6.500000 96.682740 249.677280 -3.728747 SKS 59.000000 0.512821 -Inf Inf 0.000000 Inf 7209.883838 0.170849 0.082969 0.258729 0.167074 23.677280 -0.463352 24.587060 0.015388 poor 
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 102.007840 249.256410 -3.728747 SKS 157.000000 4.000000 -Inf Inf 0.000000 Inf 8110.829491 -0.032278 -0.157006 0.092451 0.022496 -68.743590 -1.011022 37.950047 0.008248 null-measurement 
10-May-2017 23:23:36 -56.414000 -25.743200 15.000000 6.500000 106.345750 202.861090 -3.728747 SKS 110.000000 4.000000 -Inf Inf 0.000000 Inf 222204.503908 -0.080442 -0.354383 0.193498 0.095848 61.861090 -1.047937 49.142287 0.010424 null-measurement 
11-Aug-2017 05:28:25 14.006500 120.739100 172.000000 6.200000 90.469920 69.952840 -3.728747 SKS 0.000000 0.512821 -Inf Inf 0.000000 Inf 20461.033873 0.312255 0.093698 0.530812 0.321251 26.952840 0.001710 31.687347 0.037226 poor 
23-Sep-2017 12:53:01 16.625800 -95.077800 10.000000 6.100000 93.285610 296.861370 -3.728747 SKS 116.000000 4.000000 -Inf Inf 0.000000 Inf 12046.230595 -0.006115 -0.175223 0.162994 0.020616 -20.138630 -0.969646 4.030010 0.037875 null-measurement 
