date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max delta_XC phi_XC Qa E_red Eig_ratio category 
15-Apr-2016 14:11:26 13.400800 -92.367000 22.410000 6.100000 93.474340 292.251650 -3.260990 SKS 16.000000 1.435897 -Inf Inf 0.000000 Inf 8947.770258 -0.229191 -0.336626 -0.121757 0.223547 -24.748350 -0.750905 61.842436 0.012136 poor 
19-Apr-2016 05:25:39 -55.728300 -27.230700 14.000000 6.200000 105.852630 203.606240 -3.260990 SKS 27.000000 4.000000 -Inf Inf 0.000000 Inf 36402.019214 0.209311 -0.071393 0.490015 0.215266 -16.393760 -0.910575 16.462404 0.048923 poor 
20-Apr-2016 08:33:47 0.639000 -80.210400 14.000000 6.200000 93.990920 274.718710 -3.260990 SKS 94.000000 4.000000 -Inf Inf 0.000000 Inf 10474.639634 0.005737 -0.145242 0.156717 0.023742 49.718710 -0.978119 6.848610 0.015835 null-measurement 
28-May-2016 09:46:59 -56.240900 -26.935300 78.000000 7.200000 106.208580 203.184360 -3.260990 SKIKS 106.000000 4.000000 -Inf Inf 0.000000 Inf 437032.086957 0.252138 -0.624201 1.128476 0.000000 -40.815640 -0.757159 12.002658 0.374163 poor 
07-Jun-2016 10:51:37 18.363700 -105.173100 10.000000 6.300000 97.850260 304.830880 -3.260990 SKS 67.000000 0.410256 -Inf Inf 0.000000 Inf 39012.160311 0.360201 0.191354 0.529048 0.378114 80.830880 0.551438 50.684762 0.029622 poor 
07-Jun-2016 19:15:15 1.278900 126.371200 31.000000 6.300000 104.018220 74.281050 -3.260990 SKS 2.000000 1.333333 -Inf Inf 0.000000 Inf 179593.740050 0.672102 0.372220 0.971984 0.716707 28.281050 -0.053529 72.217829 0.056081 poor 
25-Jul-2016 17:26:50 -26.106700 -70.511100 72.000000 6.100000 105.275760 248.385990 -3.260990 SKS 65.000000 2.153846 162.000000 67.000000 0.102564 4.000000 2652.527534 0.140935 0.068600 0.213271 0.145164 23.385990 -0.857375 46.587427 0.008131 null-measurement 
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 99.695790 248.367100 -3.260990 SKS 64.000000 2.461538 -Inf Inf 0.000000 Inf 6976.667685 0.187500 0.044965 0.330035 0.175281 19.367100 -0.921669 65.615333 0.007740 poor 
04-Aug-2016 16:24:33 24.944700 142.014100 510.000000 6.300000 95.655110 47.146360 -3.260990 SKS 140.000000 0.820513 -Inf Inf 0.000000 Inf 2076.346780 0.065198 0.033597 0.096799 0.073962 3.146360 -0.869308 28.549464 0.003537 null-measurement 
23-Aug-2016 19:39:44 -7.287200 122.434500 533.000000 6.000000 107.260240 83.436040 -3.260990 SKS 21.000000 1.230769 2.000000 61.000000 0.512821 2.461538 13182.814528 0.949380 0.781339 1.117422 0.959941 36.436040 0.423657 88.299725 0.121961 average 
20-Nov-2016 20:57:44 -31.622600 -68.625900 108.000000 6.400000 107.669850 242.934300 -3.260990 SKS 61.000000 2.974359 -Inf Inf 0.000000 Inf 11967.645589 0.102455 -0.010197 0.215108 0.081778 15.934300 -0.974178 35.862102 0.007705 null-measurement 
10-Jan-2017 06:13:48 4.478200 122.617100 627.170000 7.300000 99.111240 74.765240 -3.260990 SKS 58.000000 1.333333 166.000000 73.000000 0.102564 4.000000 12612.204303 0.689484 0.508430 0.870538 0.713630 25.765240 -0.207596 68.470530 0.042472 poor 
18-Feb-2017 12:10:17 -23.861300 -66.659200 222.000000 6.400000 101.178510 247.659500 -3.260990 SKS 157.000000 2.461538 -Inf Inf 0.000000 Inf 2765.444759 -0.011795 -0.067724 0.044135 0.021764 -67.340500 -0.976512 4.076981 0.005096 null-measurement 
21-Feb-2017 14:09:04 -19.281400 -63.904700 595.980000 6.500000 96.162080 249.198590 -3.260990 SKS 62.000000 0.820513 -Inf Inf 0.000000 Inf 8654.486038 0.182363 0.093153 0.271573 0.192965 23.198590 -0.629992 41.991485 0.011900 poor 
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 101.487530 248.782980 -3.260990 SKS 64.000000 1.128205 -Inf Inf 0.000000 Inf 7240.604620 0.156693 0.036063 0.277323 0.144504 22.782980 -0.788392 31.399413 0.008092 poor 
10-May-2017 23:23:36 -56.414000 -25.743200 15.000000 6.500000 106.023250 202.496420 -3.260990 SKS 24.000000 4.000000 -Inf Inf 0.000000 Inf 16532.742695 0.044470 -0.128513 0.217453 0.050073 -21.503580 -0.998813 10.624903 0.021928 null-measurement 
22-Jun-2017 12:31:03 13.717400 -90.971800 38.120000 6.800000 92.309630 291.484310 -3.260990 SKS 109.000000 4.000000 106.000000 111.000000 1.230769 4.000000 1224.934501 0.085068 -0.019313 0.189449 0.063239 62.484310 -1.018479 84.307316 0.002300 null-measurement 
11-Aug-2017 05:28:25 14.006500 120.739100 172.000000 6.200000 90.990570 69.468520 -3.260990 SKS 11.000000 0.615385 -Inf Inf 0.000000 Inf 6223.535765 0.530478 0.392666 0.668290 0.538251 27.468520 0.452930 76.640023 0.040069 poor 
10-Oct-2017 06:32:21 -18.571500 -69.752600 85.000000 6.300000 99.683710 253.584360 -3.260990 SKS 68.000000 0.923077 -Inf Inf 0.000000 Inf 4159.537392 0.159239 0.088348 0.230129 0.158574 30.584360 -0.659674 20.396514 0.009115 poor 
24-Oct-2017 10:47:47 -7.216800 123.073500 553.810000 6.700000 107.670420 82.923090 -3.260990 SKS 18.000000 1.025641 0.000000 60.000000 0.512821 2.358974 4011.740208 0.756771 0.648027 0.865515 0.757401 41.923090 0.162117 93.168890 0.043948 good 
21-Jan-2018 01:06:42 -18.880600 -69.444500 116.000000 6.300000 99.680750 253.153350 -3.260990 SKS 162.000000 4.000000 -Inf Inf 0.000000 Inf 7188.726630 0.031333 -0.074670 0.137335 0.000000 -62.846650 -0.996595 11.573582 0.009650 null-measurement 
28-Jul-2018 17:07:23 -7.103900 122.726300 578.160000 6.000000 107.343250 83.088160 -3.260990 SKS 4.000000 1.641026 177.000000 31.000000 0.410256 2.974359 515.471795 0.464060 0.318344 0.609776 0.465926 41.088160 -0.544047 88.353297 0.033244 average 
