date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max category
15-Apr-2016 14:11:26 13.400800 -92.367000 22.410000 6.100000 93.483290 293.097670 3.067860 SKS 116.000000 2.974359 -Inf Inf 0.000000 Inf 10756.930991 -0.098985 -0.211031 0.013061 null-measurement
07-Jun-2016 10:51:37 18.363700 -105.173100 10.000000 6.300000 97.442780 305.809350 3.067860 SKS 121.000000 3.384615 -Inf Inf 0.000000 Inf 122442.402073 0.297365 0.036348 0.558381 poor
25-Jul-2016 17:26:50 -26.106700 -70.511100 72.000000 6.100000 106.597230 249.509640 3.067860 SKS 97.000000 1.230769 80.000000 134.000000 0.615385 2.358974 8460.953021 -0.976021 -1.119155 -0.832887 good
29-Jul-2016 21:18:24 18.542900 145.507300 196.000000 7.700000 101.033460 48.734490 3.067860 SKS 106.000000 0.615385 57.000000 132.000000 0.307692 1.743590 10349.776926 -0.535100 -0.623574 -0.446625 poor
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 101.019420 249.350260 3.067860 SKS 97.000000 0.923077 77.000000 145.000000 0.410256 2.256410 6279.649461 -0.728436 -0.829185 -0.627687 good
04-Aug-2016 16:24:33 24.944700 142.014100 510.000000 6.300000 93.921790 47.821190 3.067860 SKS 121.000000 1.435897 100.000000 129.000000 0.717949 2.358974 10499.576484 -0.678652 -0.817446 -0.539859 good
18-Feb-2017 12:10:17 -23.861300 -66.659200 222.000000 6.400000 102.518520 248.676140 3.067860 SKS 111.000000 0.820513 87.000000 138.000000 0.615385 1.333333 3710.021013 -0.818640 -0.897567 -0.739713 good
21-Feb-2017 14:09:04 -19.281400 -63.904700 595.980000 6.500000 97.466800 250.097720 3.067860 SKS 127.000000 1.025641 82.000000 152.000000 0.410256 2.358974 14859.264215 -0.895510 -1.042938 -0.748082 average
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 102.800640 249.812400 3.067860 SKS 98.000000 0.820513 75.000000 152.000000 0.307692 2.666667 6644.640982 -0.657004 -0.760471 -0.553537 average
12-May-2017 10:41:26 12.918700 -90.061100 16.000000 6.200000 92.344870 291.100910 3.067860 SKS 126.000000 0.615385 -Inf Inf 0.000000 Inf 9173.511594 -0.289684 -0.408254 -0.171113 poor
22-Jun-2017 12:31:03 13.717400 -90.971800 38.120000 6.800000 92.344760 292.292230 3.067860 SKS 20.000000 4.000000 131.000000 21.000000 0.102564 4.000000 1170.644207 -0.082106 -0.195326 0.031114 null-measurement
23-Sep-2017 12:53:01 16.625800 -95.077800 10.000000 6.100000 92.771600 297.184080 3.067860 SKS 52.000000 0.307692 -Inf Inf 0.000000 Inf 71515.005263 0.223486 0.042056 0.404915 poor
10-Oct-2017 06:32:21 -18.571500 -69.752600 85.000000 6.300000 100.877310 254.585970 3.067860 SKS 130.000000 0.717949 -Inf Inf 0.000000 Inf 233416.395530 -0.627929 -0.970144 -0.285714 poor
24-Oct-2017 10:47:47 -7.216800 123.073500 553.810000 6.700000 106.712160 83.157380 3.067860 SKS 121.000000 0.410256 -Inf Inf 0.000000 Inf 173985.812047 -0.373801 -0.656394 -0.091207 poor
14-Jan-2018 09:18:45 -15.767500 -74.709200 39.000000 7.100000 102.314790 260.013030 3.067860 SKS 97.000000 1.846154 -Inf Inf 0.000000 Inf 31571.737416 -0.857182 -1.127861 -0.586502 poor
21-Jan-2018 01:06:42 -18.880600 -69.444500 116.000000 6.300000 100.885480 254.153430 3.067860 SKS 84.000000 2.666667 75.000000 148.000000 0.205128 4.000000 16076.031595 -0.589620 -0.841547 -0.337693 poor
28-Aug-2018 07:08:11 -10.773000 124.187100 14.000000 6.200000 110.005940 84.965930 3.067860 SKS 99.000000 1.743590 -Inf Inf 0.000000 Inf 43876.178924 -0.662163 -0.955234 -0.369092 poor
07-Sep-2018 02:12:06 -2.253200 -78.790300 110.500000 6.200000 95.643330 272.545970 3.067860 SKS 99.000000 2.871795 95.000000 106.000000 1.128205 4.000000 4525.589586 -0.317909 -0.502123 -0.133696 poor
28-Sep-2018 10:02:45 -0.255900 119.846200 20.000000 7.500000 99.475940 80.589210 3.067860 SKS 161.000000 1.743590 -Inf Inf 0.000000 Inf 20790.624195 -0.479340 -0.631930 -0.326750 poor
01-Nov-2018 22:19:51 -19.582700 -69.265600 102.000000 6.200000 101.256490 253.524280 3.067860 SKS 94.000000 1.538462 82.000000 127.000000 0.615385 2.769231 8234.999580 -0.890771 -1.072707 -0.708836 average
06-Jan-2019 17:27:18 2.258000 126.758000 43.210000 6.600000 102.365030 73.704520 3.067860 SKS 165.000000 3.794872 -Inf Inf 0.000000 Inf 6400.447790 0.085946 -0.017086 0.188978 null-measurement
01-Mar-2019 08:50:42 -14.713100 -70.154600 267.000000 7.000000 98.438760 257.630010 3.067860 SKS 88.000000 2.769231 77.000000 163.000000 0.102564 4.000000 17104.140921 -0.663152 -0.961799 -0.364505 poor
28-Jun-2019 15:51:31 19.851500 144.347700 410.000000 6.400000 99.337730 48.919540 3.067860 SKS 124.000000 1.948718 90.000000 134.000000 0.512821 4.000000 20867.587047 -0.723320 -0.948257 -0.498384 poor
07-Jul-2019 15:08:40 0.512600 126.189200 35.000000 6.900000 103.266290 75.336650 3.067860 SKS 149.000000 1.025641 -Inf Inf 0.000000 Inf 18049.857065 -0.488586 -0.655571 -0.321601 poor
14-Jul-2019 09:10:51 -0.585800 128.034000 18.980000 7.200000 105.323470 74.696960 3.067860 SKS 151.000000 1.025641 -Inf Inf 0.000000 Inf 49132.362470 -0.412955 -0.608093 -0.217816 poor
19-Sep-2019 07:06:33 -6.070800 111.842200 610.000000 6.100000 98.035390 90.468700 3.067860 SKS 173.000000 2.256410 -Inf Inf 0.000000 Inf 55990.362568 -0.361007 -0.645477 -0.076536 poor
14-Nov-2019 16:17:40 1.621300 126.415600 33.000000 7.100000 102.603970 74.400520 3.067860 SKS 109.000000 0.410256 -Inf Inf 0.000000 Inf 153559.610562 -0.364623 -0.675457 -0.053789 poor
