date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max category
18-May-2016 16:46:43 0.494700 -79.616000 29.950000 6.900000 93.359620 274.133440 1.125230 SKS 179.000000 3.076923 -Inf Inf 0.000000 Inf 14078.356351 -0.253417 -0.506309 -0.000526 poor
07-Jun-2016 10:51:37 18.363700 -105.173100 10.000000 6.300000 96.706350 304.827110 1.125230 SKS 118.000000 2.974359 105.000000 123.000000 0.717949 4.000000 8717.993584 0.340127 0.100212 0.580042 poor
25-Jul-2016 17:26:50 -26.106700 -70.511100 72.000000 6.100000 105.753300 248.683090 1.125230 SKS 146.000000 0.717949 -Inf Inf 0.000000 Inf 12666.946995 -0.290935 -0.417325 -0.164546 poor
29-Jul-2016 21:18:24 18.542900 145.507300 196.000000 7.700000 101.703880 47.696410 1.125230 SKS 114.000000 0.615385 -Inf Inf 0.000000 Inf 20570.409662 -0.425172 -0.562264 -0.288080 poor
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 100.176500 248.490820 1.125230 SKS 153.000000 2.256410 -Inf Inf 0.000000 Inf 13459.935252 -0.263298 -0.403202 -0.123394 poor
04-Aug-2016 16:24:33 24.944700 142.014100 510.000000 6.300000 94.583100 46.858330 1.125230 SKS 118.000000 1.538462 96.000000 127.000000 0.717949 2.564103 14350.720261 -0.824009 -1.000348 -0.647670 good
19-Aug-2016 07:32:22 -55.285200 -31.876600 10.000000 7.400000 108.386670 206.305540 1.125230 SKS 120.000000 4.000000 -Inf Inf 0.000000 Inf 28731.668098 0.177555 -0.089735 0.444845 poor
21-Feb-2017 14:09:04 -19.281400 -63.904700 595.980000 6.500000 96.619770 249.216200 1.125230 SKS 130.000000 0.205128 -Inf Inf 0.000000 Inf 14978.559731 -0.163751 -0.273676 -0.053827 poor
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 101.955090 248.962030 1.125230 SKS 156.000000 2.769231 -Inf Inf 0.000000 Inf 5788.872921 -0.185248 -0.285874 -0.084622 poor
10-May-2017 23:23:36 -56.414000 -25.743200 15.000000 6.500000 107.573110 202.577150 1.125230 SKS 30.000000 3.589744 -Inf Inf 0.000000 Inf 111823.536045 -0.389358 -0.749100 -0.029615 poor
21-Jan-2018 01:06:42 -18.880600 -69.444500 116.000000 6.300000 100.018290 253.280030 1.125230 SKS 154.000000 1.333333 -Inf Inf 0.000000 Inf 12082.238321 -0.343975 -0.495869 -0.192081 poor
06-Mar-2018 14:13:07 -6.304300 142.611600 20.490000 6.700000 120.073940 65.847820 1.125230 SKIKS 150.000000 2.153846 67.000000 156.000000 0.000000 4.000000 11717.825446 -0.264480 -0.389903 -0.139058 poor
28-Aug-2018 07:08:11 -10.773000 124.187100 14.000000 6.200000 110.904630 84.013380 1.125230 SKS 178.000000 4.000000 174.000000 1.000000 1.435897 4.000000 6129.009767 0.001754 -0.184182 0.187690 null-measurement
07-Sep-2018 02:12:06 -2.253200 -78.790300 110.500000 6.200000 94.740600 271.623370 1.125230 SKS 176.000000 1.948718 128.000000 -1.000000 0.205128 4.000000 3282.415629 -0.242867 -0.353125 -0.132610 poor
01-Nov-2018 22:19:51 -19.582700 -69.265600 102.000000 6.200000 100.392130 252.654390 1.125230 SKS 157.000000 1.846154 -Inf Inf 0.000000 Inf 8225.398771 -0.231057 -0.348826 -0.113288 poor
01-Mar-2019 08:50:42 -14.713100 -70.154600 267.000000 7.000000 97.557830 256.738060 1.125230 SKS 151.000000 0.923077 -Inf Inf 0.000000 Inf 36899.540284 -0.439089 -0.679051 -0.199128 poor
06-Apr-2019 21:55:01 -6.828500 125.041600 539.000000 6.300000 108.694390 80.444140 1.125230 SKS 84.000000 4.000000 -Inf Inf 0.000000 Inf 23339.909148 -0.209865 -0.430584 0.010855 poor
29-Oct-2019 01:04:43 6.756700 125.008200 15.000000 6.600000 98.718740 71.005520 1.125230 SKS 78.000000 4.000000 -Inf Inf 0.000000 Inf 1740117.749981 -0.078877 -0.609221 0.451467 null-measurement
