date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max delta_XC phi_XC Qa E_red Eig_ratio category 
20-Apr-2016 08:33:47 0.639000 -80.210400 14.000000 6.200000 93.844450 274.725680 -1.694873 SKS 93.000000 4.000000 -Inf Inf 0.000000 Inf 3574.432273 -0.047978 -0.161346 0.065390 0.023278 -41.274320 -1.010427 14.690167 0.015498 null-measurement 
07-Jun-2016 19:15:15 1.278900 126.371200 31.000000 6.300000 103.795990 73.980790 -1.694873 SKS 75.000000 2.974359 -Inf Inf 0.000000 Inf 6433.296879 -0.001432 -0.090305 0.087440 0.020787 29.980790 -0.993452 6.497170 0.012089 null-measurement 
25-Jul-2016 17:26:50 -26.106700 -70.511100 72.000000 6.100000 105.588830 248.591380 -1.694873 SKS 78.000000 1.435897 -Inf Inf 0.000000 Inf 11140.837960 -0.381588 -0.530640 -0.232536 0.390303 -66.408620 -0.520396 71.875637 0.024148 poor 
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 100.010040 248.473690 -1.694873 SKS 73.000000 2.564103 -Inf Inf 0.000000 Inf 5320.006167 -0.233349 -0.367209 -0.099489 0.230801 -62.526310 -0.899907 75.221676 0.009802 poor 
04-Aug-2016 16:24:33 24.944700 142.014100 510.000000 6.300000 95.007660 47.017790 -1.694873 SKS 55.000000 1.025641 46.000000 135.000000 0.000000 4.000000 10368.474028 -0.254532 -0.341035 -0.168028 0.272447 -88.982210 -0.536179 38.920031 0.027533 poor 
23-Aug-2016 19:39:44 -7.287200 122.434500 533.000000 6.000000 107.197800 83.066720 -1.694873 SKS 60.000000 0.512821 -Inf Inf 0.000000 Inf 22575.701971 0.330555 0.172806 0.488305 0.351734 36.066720 0.126461 20.242851 0.060926 poor 
20-Nov-2016 20:57:44 -31.622600 -68.625900 108.000000 6.400000 108.073130 243.173720 -1.694873 SKS 75.000000 1.128205 -Inf Inf 0.000000 Inf 447577.044054 -0.397458 -0.663089 -0.131827 0.408891 -69.826280 -0.426505 43.183431 0.038213 poor 
18-Feb-2017 12:10:17 -23.861300 -66.659200 222.000000 6.400000 101.504450 247.791270 -1.694873 SKS 73.000000 2.871795 68.000000 101.000000 0.307692 4.000000 6715.971099 -0.258492 -0.413319 -0.103665 0.246800 -64.208730 -0.865342 67.718451 0.018683 poor 
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 101.794480 248.921210 -1.694873 SKS 78.000000 1.230769 68.000000 158.000000 0.000000 4.000000 5238.240868 -0.351517 -0.456164 -0.246870 0.362286 -66.078790 -0.506740 76.083524 0.013477 poor 
10-Oct-2017 06:32:21 -18.571500 -69.752600 85.000000 6.300000 99.908710 253.693990 -1.694873 SKS 113.000000 0.410256 -Inf Inf 0.000000 Inf 22332.791462 -0.384087 -0.571577 -0.196597 0.362726 -63.306010 0.799196 33.233029 0.028899 poor 
02-Apr-2018 13:40:34 -20.658800 -63.005800 559.000000 6.800000 96.846620 247.666790 -1.694873 SKS 80.000000 1.128205 -Inf Inf 0.000000 Inf 12325.311333 -0.417981 -0.572371 -0.263591 0.426771 -68.333210 -0.327965 59.324781 0.028577 poor 
28-Aug-2018 07:08:11 -10.773000 124.187100 14.000000 6.200000 110.872110 84.405290 -1.694873 SKS 83.000000 3.897436 -Inf Inf 0.000000 Inf 5955.658729 0.057282 -0.029750 0.144314 0.022423 39.405290 -0.963183 8.699974 0.010906 null-measurement 
