,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
0,2016-06-05T16:25:33.540Z,-4.587,125.6264,429.62,6.3,mww,,17,5.308,1.13,us,us2000626m,2016-11-10T22:16:11.202Z,"133km SW of Leksula, Indonesia",earthquake,8.7,3.7,,,reviewed,us,us
1,2017-06-22T12:31:03.490Z,13.7174,-90.9718,38.12,6.8,mww,,38,1.065,1.46,us,us20009p1a,2020-07-10T16:44:40.407Z,"28km SW of Puerto San Jose, Guatemala",earthquake,6.8,3.5,0.028,123,reviewed,us,us
2,2018-04-05T03:53:38.410Z,6.8325,126.7785,34,6,mww,,17,1.213,0.82,us,us2000dus5,2020-07-10T17:09:21.906Z,"43km ESE of Tarragona, Philippines",earthquake,7.3,1.8,0.06,27,reviewed,us,us
3,2019-05-03T07:25:31.787Z,-6.9478,160.1125,27,6.2,mww,,35,2.48,0.66,us,us70003g5a,2019-07-25T18:54:11.040Z,"144km NNE of Buala, Solomon Islands",earthquake,8.1,1.8,0.044,50,reviewed,us,us
4,2019-04-09T17:53:58.423Z,-58.6262,-25.304,38,6.5,mww,,18,7.568,1.08,us,us600032fg,2019-06-20T19:03:09.040Z,"83km ENE of Bristol Island, South Sandwich Islands",earthquake,8.2,1.8,0.049,40,reviewed,us,us
5,2019-04-22T14:49:05.341Z,-56.2633,-27.3509,79,6,mww,,30,5.587,0.74,us,us70003a91,2019-06-26T20:55:14.040Z,"49km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,9.5,1.9,0.053,34,reviewed,us,us
6,2016-04-27T12:51:19.440Z,14.5178,-93.0882,16,6,mww,,40,0.885,1.3,us,us10005bxb,2016-11-10T22:15:34.159Z,"75km WSW of Puerto Madero, Mexico",earthquake,4.9,1.7,,,reviewed,us,us
7,2018-11-16T03:26:55.640Z,-10.5383,163.1676,10,6.2,mww,,25,3.354,1.18,us,us1000hsie,2019-01-30T18:36:21.040Z,"136km E of Kirakira, Solomon Islands",earthquake,8.4,1.8,0.05,39,reviewed,us,us
8,2017-12-13T18:03:43.920Z,-54.2189,2.1628,17,6.5,mww,,23,17.654,0.99,us,us2000c3y6,2018-03-06T00:49:39.040Z,"80km WNW of Bouvet Island, Bouvet Island",earthquake,9.7,1.7,0.041,57,reviewed,us,us
9,2019-04-06T21:55:01.660Z,-6.8285,125.0416,539,6.3,mww,,20,3.007,0.93,us,us2000kbi1,2019-06-19T23:26:40.987Z,"200km NNW of Dili, East Timor",earthquake,8.8,1.9,0.034,84,reviewed,us,us
10,2018-05-09T07:57:54.950Z,-5.8822,151.7836,9,6,mww,,24,1.722,0.84,us,us1000e17w,2020-07-10T15:47:07.987Z,"177km SSW of Kokopo, Papua New Guinea",earthquake,3.2,1.8,0.046,45,reviewed,us,us
11,2016-06-07T10:51:37.720Z,18.3637,-105.1731,10,6.3,mww,,56,1.383,1,us,us200062i1,2016-11-10T22:16:16.892Z,"106km SSW of San Patricio, Mexico",earthquake,5.5,1.7,,,reviewed,us,us
12,2019-12-24T16:43:33.420Z,-26.964,-63.3857,572.44,6,mww,,31,5.13,0.93,us,us70006qk4,2020-03-14T22:25:14.040Z,"16km WNW of El Hoyo, Argentina",earthquake,9.1,3,0.04,61,reviewed,us,us
13,2016-12-01T22:40:26.610Z,-15.3122,-70.827,12,6.2,mww,,43,2.455,1.11,us,us10007e55,2020-07-10T15:16:49.392Z,"44km NE of Huarichancara, Peru",earthquake,6.2,1.7,,,reviewed,us,us
14,2017-11-27T07:11:11.620Z,-4.5746,153.2269,54,6,mww,,37,1.126,0.7,us,us2000burc,2020-07-10T16:57:52.478Z,"24km ESE of Taron, Papua New Guinea",earthquake,7.7,1.9,0.05,38,reviewed,us,us
15,2016-04-19T05:25:39.940Z,-55.7283,-27.2307,14,6.2,mww,,32,5.521,0.8,us,us20005jqc,2016-11-10T22:15:26.770Z,"108km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,9.3,1.7,,,reviewed,us,us
16,2019-07-07T15:08:40.525Z,0.5126,126.1892,35,6.9,mww,,21,1.205,0.8,us,us70004dz3,2019-09-26T14:30:53.040Z,"134km WSW of Kota Ternate, Indonesia",earthquake,6.2,1.9,0.043,51,reviewed,us,us
17,2016-12-14T02:01:22.810Z,21.2897,144.4037,22.37,6,mww,,18,6.124,1.01,us,us200080m3,2017-03-09T02:14:30.040Z,"97km NNW of Farallon de Pajaros, Northern Mariana Islands",earthquake,7.3,1.8,,,reviewed,us,us
18,2017-01-22T04:30:22.960Z,-6.2464,155.1718,135,7.9,mww,,9,3.625,1.22,us,us10007uph,2020-07-10T15:22:42.046Z,"35km WNW of Panguna, Papua New Guinea",earthquake,7.3,1.8,0.042,54,reviewed,us,us
19,2016-12-18T09:47:06.130Z,8.3725,137.6736,19,6.2,mww,,16,8.76,1.06,us,us2000828l,2017-03-16T02:31:27.040Z,"22km ESE of Ngulu, Micronesia",earthquake,8.2,1.7,,,reviewed,us,us
20,2016-02-12T10:02:24.050Z,-9.6338,119.4013,28,6.3,mww,,39,2.971,1.14,us,us20004zp9,2020-07-10T16:23:22.877Z,"0km W of Komerda, Indonesia",earthquake,6.4,1.7,,,reviewed,us,us
21,2016-12-17T10:51:10.500Z,-4.5049,153.5216,94.54,7.9,mww,,13,1.389,0.97,us,us200081v8,2020-07-10T16:38:16.550Z,"54km E of Taron, Papua New Guinea",earthquake,7.3,3.8,,,reviewed,us,us
22,2018-02-25T17:44:44.140Z,-6.0699,142.7536,25.21,7.5,mww,,17,5.48,1.31,us,us2000d7q6,2020-08-15T02:15:52.360Z,"83km SW of Porgera, Papua New Guinea",earthquake,7.2,3,0.039,63,reviewed,us,us
23,2019-05-26T07:41:15.073Z,-5.8119,-75.2697,122.57,8,mww,,17,3.18,0.84,us,us60003sc0,2020-07-08T13:07:31.238Z,"78km SE of Lagunas, Peru",earthquake,7,4,0.036,75,reviewed,us,us
24,2016-01-14T03:25:28.270Z,-19.7597,-63.3288,582.56,6.1,mww,,16,5.492,1.04,us,us10004ebw,2016-11-10T22:08:17.357Z,"12km WNW of Charagua, Bolivia",earthquake,7.9,4.6,,,reviewed,us,us
25,2019-04-22T09:11:12.013Z,14.9538,120.5149,21.84,6.1,mww,,20,0.94,1.01,us,us70003a63,2020-07-10T17:39:16.814Z,"3km SSW of Floridablanca, Philippines",earthquake,6.3,3.7,0.035,77,reviewed,us,us
26,2018-01-19T16:17:44.720Z,26.6862,-111.0785,10,6.3,mww,,109,1.214,1.45,us,us2000cl83,2020-07-10T17:00:41.030Z,"78km NNE of Loreto, Mexico",earthquake,5.7,1.8,0.035,79,reviewed,us,us
27,2018-08-16T18:22:53.360Z,23.4226,143.3187,20,6.3,mww,,17,3.798,0.64,us,us1000gaqv,2018-10-27T16:22:04.040Z,"251km SE of Iwo Jima, Japan",earthquake,7.1,1.7,0.042,54,reviewed,us,us
28,2018-09-28T06:59:59.740Z,-0.4009,119.7705,4.99,6.1,mww,,33,1.81,0.95,us,us1000h3mf,2020-07-10T15:55:42.309Z,"55km NNW of Palu, Indonesia",earthquake,5.8,3.5,0.071,19,reviewed,us,us
29,2016-12-21T00:17:14.990Z,-7.5082,127.9206,152,6.7,mww,,17,3.38,1.2,us,us10007lkw,2020-07-10T15:17:52.442Z,"283km ENE of Dili, East Timor",earthquake,5.3,1.8,,,reviewed,us,us
30,2019-08-01T18:28:07.270Z,-34.2364,-72.3102,25,6.8,mww,,35,0.817,0.91,us,us60004yps,2020-07-10T17:32:41.012Z,"95km SW of San Antonio, Chile",earthquake,5.1,1.8,0.045,48,reviewed,us,us
31,2019-03-10T12:48:00.607Z,-10.1317,152.0647,9,6,mww,,35,4.888,0.75,us,us1000jd7d,2019-05-24T21:21:26.040Z,"139km SSW of Kulumadau, Papua New Guinea",earthquake,7.1,1.8,0.039,64,reviewed,us,us
32,2016-10-15T08:03:38.150Z,-4.2735,150.3606,442,6.3,mww,,18,1.661,0.98,us,us20007ebu,2017-01-15T01:13:56.040Z,"143km N of Kimbe, Papua New Guinea",earthquake,9.2,1.9,,,reviewed,us,us
33,2016-08-31T03:11:34.420Z,-3.6849,152.7915,476,6.8,mww,,12,0.803,0.63,us,us10006iy0,2020-07-10T15:07:06.515Z,"39km E of Namatanai, Papua New Guinea",earthquake,8.1,1.9,,,reviewed,us,us
34,2017-04-24T21:38:30.820Z,-33.0375,-72.0617,28,6.9,mww,,39,0.356,0.73,us,us10008kce,2020-07-21T00:11:12.262Z,"40km W of Valparaiso, Chile",earthquake,4.9,1.8,,,reviewed,us,us
35,2016-09-17T01:20:17.940Z,-2.0829,140.5718,9,6,mww,,12,6.79,0.94,us,us10006qas,2016-12-12T23:01:26.040Z,"51km NNW of Jayapura, Indonesia",earthquake,7.3,1.7,,,reviewed,us,us
36,2016-08-04T16:24:33.530Z,24.9447,142.0141,510,6.3,mww,,13,2.147,0.77,us,us10006a2k,2016-11-10T22:17:49.745Z,"71km ENE of Iwo Jima, Japan",earthquake,8,1.9,,,reviewed,us,us
37,2017-05-10T23:23:36.830Z,-56.414,-25.7432,15,6.5,mww,,17,6.489,0.88,us,us10008rb6,2017-08-01T23:02:28.040Z,"95km ENE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,7.5,1.3,0.041,56,reviewed,us,us
38,2018-03-25T20:14:47.690Z,-6.6343,129.8172,169,6.4,mww,,13,1.988,1.09,us,us1000d8xh,2018-06-19T01:35:53.040Z,"220km NW of Saumlaki, Indonesia",earthquake,6.5,0.7,0.033,87,reviewed,us,us
39,2018-11-04T07:55:29.280Z,7.7599,123.867,600.71,6,mww,,22,1.831,0.6,us,us2000i6mv,2019-01-21T14:29:46.040Z,"10km SSE of Sapad, Philippines",earthquake,8.9,3.3,0.036,74,reviewed,us,us
40,2017-12-03T11:19:05.440Z,-0.47,-80.3101,17,6.1,mww,,47,1.763,1.04,us,us1000bkjh,2020-07-10T15:37:57.694Z,"18km NE of Bahia de Caraquez, Ecuador",earthquake,5.6,1.7,0.045,48,reviewed,us,us
41,2016-04-01T19:24:55.370Z,-3.3585,144.887,6,6.2,mww,,37,2.8,1.42,us,us20005e01,2020-07-10T16:24:59.178Z,"119km NE of Angoram, Papua New Guinea",earthquake,6.5,1.8,,,reviewed,us,us
42,2016-10-27T20:32:55.790Z,-33.7771,-72.5321,12.57,6,mww,,78,0.774,1.05,us,us100072gn,2017-01-20T00:31:10.040Z,"86km WSW of San Antonio, Chile",earthquake,4.2,2.7,,,reviewed,us,us
