	Station	Latitude	Longitude	phi	sigma_phi	dt	sigma_dt
0	A250A	45.084	14.9106				
1	A251A	45.1286	16.2664	47.48268	-0.0	1.641026	0.0
2	A252A	45.4356	17.8482	261.68690053617945	58.57639097338289	1.1282051111111109	0.19934881204586788
3	A253A	45.2926	13.8167				
4	A254A	45.3148	15.805				
5	A255A	45.509	16.0507				
6	A050A	44.4818	16.5313				
7	A051A	45.0125	16.9069	255.48450527649092	54.87673461978807	1.2478631666666669	0.20008038234204495
8	A052A	45.1026	17.5139	249.809075	6.519380067155136	1.179487	0.05128200000000005
9	MOSL	45.6135	16.7544	255.79924070778947	64.79614423477733	1.025641	0.21929105612404717
10	DUGI	44.1131	14.9318	76.3318175631894	18.97042663469832	1.076923	0.1848998805083443
11	KALN	46.131166	16.455717	251.9164976328652	15.87960367251539	1.2307690000000002	0.13829726938735995
12	KIJV	44.004883	16.404696				
13	KSY	44.68819	15.270395				
14	LOBO	46.1551	16.0686	256.830633360153	51.211647152460735	1.4652012857142858	0.4092084278397271
15	MORI	43.866017	15.707297	78.07043615553789	54.470755677739675	1.230769166666667	0.4624870242981298
16	NVLJ	44.56347	14.87105	73.2156	-0.0	0.820513	0.0
17	OZLJ	45.61527	15.467266	46.85833	-0.0	1.641026	0.0
18	PLIT	44.878389	15.623055				
19	PTJ	45.907328	15.968193	316.19545585261625	72.90510659664994	1.150997111111111	0.3800187562202817
20	RABC	44.750429	14.782104				
21	SLNJ	45.134437	15.51711	329.76426	75.4553120494334	0.5641025	0.15384649999999997
22	UDBI	44.531422	15.769351				
23	VIRC	44.292497	15.053954	93.04939	0.006994113710093057	0.820513	0.0
24	ZIRJ	43.654255	15.643891	72.3467078703257	24.068559519816066	0.9358974999999999	0.22609198017123477
