	Station	Latitude	Longitude	phi	sigma_phi	dt	sigma_dt
0	A250A	45.084	14.9106				
1	A251A	45.1286	16.2664	341.07894	66.65040260403386	1.794872	0.15384599999999993
2	A252A	45.4356	17.8482	261.38265757888956	59.893138512299096	1.1676528461538462	0.2592770023338112
3	A253A	45.2926	13.8167	70.62737999999999	12.02469258451804	0.974359	0.051281999999999994
4	A254A	45.3148	15.805				
5	A255A	45.509	16.0507	243.61851999999996	-0.0	2.564103	0.0
6	A050A	44.4818	16.5313				
7	A051A	45.0125	16.9069	258.4062798218705	57.45951579607674	1.3743589	0.23478006785732472
8	A052A	45.1026	17.5139	249.809075	6.519380067155136	1.179487	0.05128200000000005
9	MOSL	45.6135	16.7544	278.8648147536945	72.80615242951771	1.2071006153846153	0.559101123597173
10	DUGI	44.1131	14.9318	77.96214341715962	19.080262082947204	1.071225	0.21682368734065938
11	KALN	46.131166	16.455717	271.32446855553286	64.93638239628595	1.2676922	0.33314230859379
12	KIJV	44.004883	16.404696	82.062265	19.481459642509762	1.025641	0.0
13	KSY	44.68819	15.270395	51.07932087912286	60.970124598595994	3.87179475	0.2220580067970699
14	LOBO	46.1551	16.0686	285.92669728867276	76.67388558056032	1.2911009999999998	0.43806044363575325
15	MORI	43.866017	15.707297	77.79514624583818	45.83719572795341	1.100233090909091	0.3962428172496012
16	NVLJ	44.56347	14.87105	74.72894522912958	9.53962386180221	0.923077	0.14504739981123405
17	OZLJ	45.61527	15.467266	46.85833	-0.0	1.641026	0.0
18	PLIT	44.878389	15.623055				
19	PTJ	45.907328	15.968193	309.69265370651004	78.43914584939837	1.413105388888889	0.6625385096546916
20	RABC	44.750429	14.782104				
21	SLNJ	45.134437	15.51711	270.28398886037695	67.43193718795531	0.5470086666666666	0.1279201390877223
22	UDBI	44.531422	15.769351	29.38101360164577	68.05040522090796	1.059829	0.3384439328928796
23	VIRC	44.292497	15.053954	118.1464773276346	67.92073743129521	1.8256412000000002	1.3076821995788426
24	ZIRJ	43.654255	15.643891	74.43488154253906	23.207942163228317	0.965812	0.2027999769896437
