	Station	Latitude	Longitude	phi	sigma_phi	dt	sigma_dt
0	A250A	45,084	14,9106				
1	A251A	45,1286	16,2664	47,48268	-0,0	1,538462	0,0
2	A252A	45,4356	17,8482	262,8446518854278	56,7859168680095	1,2102564	0,27824950344437277
3	A253A	45,2926	13,8167	162,63018999999971	100,3313019302038	0,871795	0,15384600000000004
4	A254A	45,3148	15,805				
5	A255A	45,509	16,0507				
6	A050A	44,4818	16,5313				
7	A051A	45,0125	16,9069	259,0590546532864	61,059732012463414	1,5384615	0,10256450000000006
8	A052A	45,1026	17,5139	249,809075	6,519380067155136	1,025641	0,0
9	MOSL	45,6135	16,7544	285,7523320183772	75,77864583703905	1,0256410833333334	0,26148808212627284
10	DUGI	44,1131	14,9318	74,52909191062174	8,802035251978678	1,0666666	0,05024589319576272
11	KALN	46,131166	16,455717	292,90453	-0,0	0,717949	0,0
12	KIJV	44,004883	16,404696	75,44564	-0,0	1,025641	0,0
13	KSY	44,68819	15,270395	65,91164998157996	69,01161977289857	3,179487333333333	1,1603801412989145
14	LOBO	46,1551	16,0686	254,75484116763408	61,95753042835511	1,2905983333333333	0,4855271058666264
15	MORI	43,866017	15,707297	78,05341728963114	48,41493522632145	1,128205111111111	0,3650282322562171
16	NVLJ	44,56347	14,87105	74,72894522912958	9,53962386180221	0,854701	0,12791978273902752
17	OZLJ	45,61527	15,467266	46,85833	-0,0	1,538462	0,0
18	PLIT	44,878389	15,623055				
19	PTJ	45,907328	15,968193	290,6952262395535	68,10974599710006	1,3105413888888888	0,49490713466210995
20	RABC	44,750429	14,782104				
21	SLNJ	45,134437	15,51711	249,6548124759904	11,002895015714815	0,5128206666666667	0,08374356357489343
22	UDBI	44,531422	15,769351	326,81098499999996	78,75373022116797	0,769231	0,25641
23	VIRC	44,292497	15,053954	106,82367922517716	60,26288200773419	1,880342	1,5011621946165579
24	ZIRJ	43,654255	15,643891	74,46848264822351	24,146946851926234	0,9230769999999999	0,1776460590274944
